device,model,horizon_h,n,crps,crps_skill,crps_skill_fold_median,crps_skill_fold_min,ceiling,efficiency,efficiency_fold_min,ceiling_oracle,efficiency_oracle,cov50,cov90
SE01-LS-1,fhs-adaptive,6,1401,0.0759,0.2676,0.2982,0.1996,0.195,1.3724,1.0166,0.2976,0.8992,0.3547,0.8729
SE01-LS-1,fhs-ewma,6,1401,0.0766,0.2605,0.2935,0.2254,0.195,1.3364,1.148,0.2976,0.8756,0.4354,0.9151
SE01-LS-1,gaussian-ewma,6,1401,0.0835,0.1943,0.2384,0.159,0.195,0.9965,0.8528,0.2976,0.6529,0.6345,0.9008
SE01-LS-1,persistence-point,6,1401,0.1036,0.0,0.0,0.0,0.195,0.0,0.0,0.2976,0.0,0.0307,0.0307
SE01-LS-1,fhs-adaptive,12,1395,0.1182,0.3257,0.3139,0.2713,0.2084,1.5624,1.3023,0.3668,0.8879,0.3276,0.8516
SE01-LS-1,fhs-ewma,12,1395,0.1217,0.3061,0.2992,0.2796,0.2084,1.4686,1.3591,0.3668,0.8345,0.4746,0.9305
SE01-LS-1,gaussian-ewma,12,1395,0.1386,0.2096,0.2541,0.1726,0.2084,1.0056,0.8724,0.3668,0.5715,0.6258,0.9455
SE01-LS-1,persistence-point,12,1395,0.1753,0.0,0.0,0.0,0.2084,0.0,0.0,0.3668,0.0,0.0093,0.0093
SE01-LS-1,fhs-adaptive,24,1383,0.1629,0.4219,0.4818,0.3717,0.2219,1.9016,1.7973,0.5017,0.8411,0.3485,0.8778
SE01-LS-1,fhs-ewma,24,1383,0.1749,0.3794,0.4958,0.2208,0.2219,1.7099,1.0227,0.5017,0.7563,0.5785,0.9407
SE01-LS-1,gaussian-ewma,24,1383,0.2203,0.2185,0.2924,0.0523,0.2219,0.9846,0.2423,0.5017,0.4355,0.6623,0.9465
SE01-LS-1,persistence-point,24,1383,0.2818,0.0,0.0,0.0,0.2219,0.0,0.0,0.5017,0.0,0.0014,0.0014
SE01-LS-1,fhs-adaptive,48,1359,0.297,0.4296,0.5159,0.3733,0.2223,1.9322,1.7747,0.5603,0.7667,0.387,0.8322
SE01-LS-1,fhs-ewma,48,1359,0.3291,0.3678,0.5014,0.0929,0.2223,1.6545,0.4303,0.5603,0.6566,0.7005,0.9485
SE01-LS-1,gaussian-ewma,48,1359,0.3927,0.2458,0.3166,-0.166,0.2223,1.1054,-0.7686,0.5603,0.4386,0.7086,0.9139
SE01-LS-1,persistence-point,48,1359,0.5206,0.0,0.0,0.0,0.2223,0.0,0.0,0.5603,0.0,0.0029,0.0029
SE01-LS-2,fhs-adaptive,6,1401,0.0825,0.2647,0.2763,0.2545,0.1663,1.5915,1.5456,0.3037,0.8715,0.2855,0.8637
SE01-LS-2,fhs-ewma,6,1401,0.0832,0.258,0.296,0.2286,0.1663,1.5512,1.4791,0.3037,0.8495,0.4404,0.9101
SE01-LS-2,gaussian-ewma,6,1401,0.091,0.1881,0.2989,0.1176,0.1663,1.1313,0.7613,0.3037,0.6195,0.6267,0.9422
SE01-LS-2,persistence-point,6,1401,0.1121,0.0,0.0,0.0,0.1663,0.0,0.0,0.3037,0.0,0.0,0.0
