device,model,horizon_h,n,crps,crps_skill,crps_skill_fold_median,crps_skill_fold_min,pinball_p05,pinball_p25,pinball_p50,pinball_p75,pinball_p95,cov50,cov90
SE01-LS-1,gaussian-ewma,6,1401,0.0835,0.1943,0.2384,0.159,0.0149,0.0386,0.0518,0.0548,0.0305,0.6345,0.9008
SE01-LS-1,persistence-point,6,1401,0.1036,0.0,0.0,0.0,0.0655,0.0594,0.0518,0.0441,0.038,0.0307,0.0307
SE01-LS-1,gaussian-fixed,6,1401,0.1069,-0.0322,-0.2084,-0.4366,0.0239,0.0503,0.0518,0.0789,0.0428,0.9215,0.9879
SE01-LS-1,climatology-ensemble,6,1401,3.9941,-37.5608,-92.3861,-109.9017,1.1718,2.3868,2.9021,1.7847,0.576,0.2541,0.3911
SE01-LS-1,gaussian-ewma,12,1395,0.1386,0.2096,0.2541,0.1726,0.0216,0.0553,0.0877,0.098,0.0546,0.6258,0.9455
SE01-LS-1,persistence-point,12,1395,0.1753,0.0,0.0,0.0,0.1152,0.103,0.0877,0.0724,0.0601,0.0093,0.0093
SE01-LS-1,gaussian-fixed,12,1395,0.1883,-0.0739,-0.3791,-0.6487,0.0438,0.085,0.0877,0.146,0.0758,0.9491,0.9907
SE01-LS-1,climatology-ensemble,12,1395,4.0013,-21.822,-59.8219,-79.4334,1.1764,2.3984,2.8914,1.7877,0.5845,0.2631,0.3928
SE01-LS-1,gaussian-ewma,24,1383,0.2203,0.2185,0.2924,0.0523,0.0346,0.0721,0.1409,0.1709,0.0898,0.6623,0.9465
SE01-LS-1,persistence-point,24,1383,0.2818,0.0,0.0,0.0,0.1973,0.1723,0.1409,0.1096,0.0845,0.0014,0.0014
SE01-LS-1,gaussian-fixed,24,1383,0.3089,-0.096,-0.8206,-1.3092,0.0737,0.1355,0.1409,0.2506,0.1228,0.9537,0.9826
SE01-LS-1,climatology-ensemble,24,1383,4.0131,-13.24,-37.0758,-73.0746,1.1823,2.3906,2.9024,1.7878,0.582,0.2654,0.3962
SE01-LS-1,gaussian-ewma,48,1359,0.3927,0.2458,0.3166,-0.166,0.0703,0.1318,0.2603,0.3107,0.1183,0.7086,0.9139
SE01-LS-1,gaussian-fixed,48,1359,0.4865,0.0656,-0.7073,-0.7974,0.107,0.1894,0.2603,0.3992,0.1687,0.9139,0.9654
SE01-LS-1,persistence-point,48,1359,0.5206,0.0,0.0,0.0,0.376,0.3246,0.2603,0.196,0.1446,0.0029,0.0029
SE01-LS-1,climatology-ensemble,48,1359,4.0326,-6.7456,-17.9081,-36.5988,1.1956,2.4649,2.8927,1.786,0.5744,0.2701,0.4032
SE01-LS-2,gaussian-ewma,6,1401,0.091,0.1881,0.2989,0.1176,0.015,0.0387,0.0561,0.0627,0.0367,0.6267,0.9422
