device,model,horizon_h,subset,n,mae,rmse,skill_vs_persistence
SE01-LS-1,persistence,6,event,60,0.6474,1.2652,0.0
SE01-LS-1,diurnal_drift,6,event,60,0.6523,1.2603,-0.0076
SE01-LS-1,water_balance,6,event,60,0.6381,1.2307,0.0143
SE01-LS-1,persistence,6,quiet,1341,0.0792,0.1114,0.0
SE01-LS-1,diurnal_drift,6,quiet,1341,0.0732,0.1026,0.0764
SE01-LS-1,water_balance,6,quiet,1341,0.08,0.1123,-0.0098
SE01-LS-1,persistence,6,all,1401,0.1036,0.2836,0.0
SE01-LS-1,diurnal_drift,6,all,1401,0.098,0.2795,0.0539
SE01-LS-1,water_balance,6,all,1401,0.1039,0.2774,-0.0033
SE01-LS-1,persistence,12,event,60,1.164,1.8683,0.0
SE01-LS-1,diurnal_drift,12,event,60,1.1759,1.8722,-0.0102
SE01-LS-1,water_balance,12,event,60,1.1604,1.7756,0.0031
SE01-LS-1,persistence,12,quiet,1335,0.1309,0.1752,0.0
SE01-LS-1,diurnal_drift,12,quiet,1335,0.115,0.159,0.1215
SE01-LS-1,water_balance,12,quiet,1335,0.1332,0.1799,-0.0179
SE01-LS-1,persistence,12,all,1395,0.1753,0.4237,0.0
SE01-LS-1,diurnal_drift,12,all,1395,0.1606,0.4183,0.0839
SE01-LS-1,water_balance,12,all,1395,0.1774,0.4081,-0.0119
SE01-LS-1,persistence,24,event,60,1.7664,2.4944,0.0
SE01-LS-1,diurnal_drift,24,event,60,1.7537,2.4811,0.0072
SE01-LS-1,water_balance,24,event,60,1.266,1.6505,0.2833
SE01-LS-1,persistence,24,quiet,1323,0.2145,0.275,0.0
SE01-LS-1,diurnal_drift,24,quiet,1323,0.2082,0.2778,0.0291
SE01-LS-1,water_balance,24,quiet,1323,0.2608,0.4291,-0.2158
SE01-LS-1,persistence,24,all,1383,0.2818,0.5851,0.0
SE01-LS-1,diurnal_drift,24,all,1383,0.2753,0.5838,0.0232
SE01-LS-1,water_balance,24,all,1383,0.3044,0.5425,-0.08
SE01-LS-1,persistence,48,event,60,2.6176,3.024,0.0
SE01-LS-1,diurnal_drift,48,event,60,2.5951,2.9776,0.0086
SE01-LS-1,water_balance,48,event,60,0.9802,1.1654,0.6255
SE01-LS-1,persistence,48,quiet,1299,0.4238,0.5611,0.0
SE01-LS-1,diurnal_drift,48,quiet,1299,0.4159,0.5719,0.0186
SE01-LS-1,water_balance,48,quiet,1299,0.4422,0.5386,-0.0435
SE01-LS-1,persistence,48,all,1359,0.5206,0.8395,0.0
SE01-LS-1,diurnal_drift,48,all,1359,0.5121,0.8391,0.0164
SE01-LS-1,water_balance,48,all,1359,0.466,0.5807,0.105
SE01-LS-2,persistence,6,event,60,0.9313,1.7088,0.0
SE01-LS-2,diurnal_drift,6,event,60,0.8809,1.657,0.0541
SE01-LS-2,water_balance,6,event,60,0.9313,1.7088,0.0
SE01-LS-2,persistence,6,quiet,1341,0.0755,0.1011,0.0
SE01-LS-2,diurnal_drift,6,quiet,1341,0.1409,0.1735,-0.8667
SE01-LS-2,water_balance,6,quiet,1341,0.0753,0.101,0.0019
SE01-LS-2,persistence,6,all,1401,0.1121,0.3672,0.0
SE01-LS-2,diurnal_drift,6,all,1401,0.1726,0.3826,-0.5392
SE01-LS-2,water_balance,6,all,1401,0.112,0.3672,0.0013
SE01-LS-2,persistence,12,event,60,1.6289,2.3963,0.0
SE01-LS-2,diurnal_drift,12,event,60,1.5805,2.3287,0.0297
SE01-LS-2,water_balance,12,event,60,1.6289,2.3963,0.0
SE01-LS-2,persistence,12,quiet,1335,0.1107,0.1522,0.0
SE01-LS-2,diurnal_drift,12,quiet,1335,0.1873,0.2303,-0.692
SE01-LS-2,water_balance,12,quiet,1335,0.1107,0.1522,0.0
SE01-LS-2,persistence,12,all,1395,0.176,0.5188,0.0
SE01-LS-2,diurnal_drift,12,all,1395,0.2472,0.5329,-0.4047
SE01-LS-2,water_balance,12,all,1395,0.176,0.5188,0.0
SE01-LS-2,persistence,24,event,60,2.035,2.8725,0.0
SE01-LS-2,diurnal_drift,24,event,60,2.0548,2.9257,-0.0097
SE01-LS-2,water_balance,24,event,60,1.6576,2.2714,0.1855
SE01-LS-2,persistence,24,quiet,1323,0.1816,0.2857,0.0
SE01-LS-2,diurnal_drift,24,quiet,1323,0.1335,0.2444,0.2652
SE01-LS-2,water_balance,24,quiet,1323,0.2128,0.4099,-0.1718
SE01-LS-2,persistence,24,all,1383,0.262,0.6603,0.0
SE01-LS-2,diurnal_drift,24,all,1383,0.2168,0.6546,0.1726
SE01-LS-2,water_balance,24,all,1383,0.2755,0.6201,-0.0514
SE01-LS-2,persistence,48,event,60,3.0745,3.3445,0.0
SE01-LS-2,diurnal_drift,48,event,60,3.1338,3.4521,-0.0193
SE01-LS-2,water_balance,48,event,60,2.3862,2.5778,0.2239
SE01-LS-2,persistence,48,quiet,1299,0.3508,0.5048,0.0
SE01-LS-2,diurnal_drift,48,quiet,1299,0.2445,0.4315,0.3032
SE01-LS-2,water_balance,48,quiet,1299,0.3567,0.4594,-0.0167
SE01-LS-2,persistence,48,all,1359,0.4711,0.8587,0.0
SE01-LS-2,diurnal_drift,48,all,1359,0.372,0.8391,0.2103
SE01-LS-2,water_balance,48,all,1359,0.4463,0.7037,0.0526
SE01-LS-3,persistence,6,event,65,1.0097,1.902,0.0
SE01-LS-3,diurnal_drift,6,event,65,0.9997,1.9038,0.0099
SE01-LS-3,water_balance,6,event,65,1.0097,1.902,0.0
SE01-LS-3,persistence,6,quiet,1336,0.0892,0.1223,0.0
SE01-LS-3,diurnal_drift,6,quiet,1336,0.0969,0.1277,-0.086
SE01-LS-3,water_balance,6,quiet,1336,0.0892,0.1223,0.0
SE01-LS-3,persistence,6,all,1401,0.1319,0.4267,0.0
