model,horizon_h,bin,n,p_mean,obs_rate
first_passage_zero,6,0.0 to 0.1,622,0.003282,0.000000
first_passage_zero,6,0.1 to 0.2,26,0.149862,0.000000
first_passage_zero,6,0.2 to 0.3,23,0.233921,0.000000
first_passage_zero,6,0.3 to 0.4,34,0.335340,0.029412
first_passage_zero,6,0.4 to 0.5,29,0.453693,0.000000
first_passage_zero,6,0.5 to 0.6,7,0.528925,0.285714
first_passage_zero,6,0.6 to 0.7,28,0.646930,0.107143
first_passage_zero,6,0.7 to 0.8,6,0.747787,0.833333
first_passage_zero,6,0.8 to 0.9,8,0.863581,0.750000
first_passage_zero,6,0.9 to 1.0,6187,0.999690,0.993858
first_passage_zero,12,0.0 to 0.1,580,0.003295,0.000000
first_passage_zero,12,0.1 to 0.2,29,0.146043,0.000000
first_passage_zero,12,0.2 to 0.3,14,0.243710,0.000000
first_passage_zero,12,0.3 to 0.4,32,0.348816,0.000000
first_passage_zero,12,0.4 to 0.5,34,0.463262,0.088235
first_passage_zero,12,0.5 to 0.6,31,0.568007,0.161290
first_passage_zero,12,0.6 to 0.7,15,0.633905,0.400000
first_passage_zero,12,0.7 to 0.8,30,0.749204,0.166667
first_passage_zero,12,0.8 to 0.9,7,0.857168,1.000000
first_passage_zero,12,0.9 to 1.0,6108,0.999706,0.996071
first_passage_zero,24,0.0 to 0.1,542,0.000880,0.000000
first_passage_zero,24,0.1 to 0.2,12,0.165273,0.083333
first_passage_zero,24,0.2 to 0.3,28,0.251343,0.071429
first_passage_zero,24,0.3 to 0.4,21,0.343462,0.095238
first_passage_zero,24,0.4 to 0.5,25,0.464480,0.040000
first_passage_zero,24,0.5 to 0.6,25,0.548447,0.120000
first_passage_zero,24,0.6 to 0.7,41,0.641235,0.243902
first_passage_zero,24,0.7 to 0.8,30,0.723909,0.333333
first_passage_zero,24,0.8 to 0.9,33,0.829078,0.272727
first_passage_zero,24,0.9 to 1.0,5943,0.999746,0.999663
first_passage_zero,48,0.0 to 0.1,511,0.000832,0.000000
first_passage_zero,48,0.1 to 0.2,4,0.145608,0.000000
first_passage_zero,48,0.2 to 0.3,6,0.259282,0.000000
first_passage_zero,48,0.3 to 0.4,18,0.362757,0.333333
first_passage_zero,48,0.4 to 0.5,31,0.451402,0.161290
first_passage_zero,48,0.5 to 0.6,17,0.551252,0.058824
first_passage_zero,48,0.6 to 0.7,41,0.648017,0.048780
first_passage_zero,48,0.7 to 0.8,59,0.755057,0.237288
first_passage_zero,48,0.8 to 0.9,42,0.856629,0.857143
first_passage_zero,48,0.9 to 1.0,5611,0.999750,0.999822
first_passage_ewma,6,0.0 to 0.1,622,0.003032,0.000000
first_passage_ewma,6,0.1 to 0.2,26,0.143746,0.000000
first_passage_ewma,6,0.2 to 0.3,25,0.231917,0.000000
first_passage_ewma,6,0.3 to 0.4,32,0.328124,0.031250
first_passage_ewma,6,0.4 to 0.5,29,0.445855,0.000000
first_passage_ewma,6,0.5 to 0.6,7,0.513575,0.285714
first_passage_ewma,6,0.6 to 0.7,29,0.643025,0.137931
first_passage_ewma,6,0.7 to 0.8,5,0.746811,0.800000
first_passage_ewma,6,0.8 to 0.9,9,0.861747,0.666667
first_passage_ewma,6,0.9 to 1.0,6186,0.999697,0.994019
first_passage_ewma,12,0.0 to 0.1,582,0.003208,0.000000
first_passage_ewma,12,0.1 to 0.2,28,0.139651,0.000000
first_passage_ewma,12,0.2 to 0.3,13,0.233654,0.000000
first_passage_ewma,12,0.3 to 0.4,38,0.346116,0.000000
first_passage_ewma,12,0.4 to 0.5,34,0.467844,0.147059
first_passage_ewma,12,0.5 to 0.6,27,0.571644,0.148148
first_passage_ewma,12,0.6 to 0.7,13,0.624160,0.384615
first_passage_ewma,12,0.7 to 0.8,31,0.744266,0.193548
first_passage_ewma,12,0.8 to 0.9,8,0.865068,1.000000
first_passage_ewma,12,0.9 to 1.0,6106,0.999725,0.996069
first_passage_ewma,24,0.0 to 0.1,542,0.000699,0.000000
first_passage_ewma,24,0.1 to 0.2,18,0.157936,0.111111
first_passage_ewma,24,0.2 to 0.3,30,0.251018,0.100000
first_passage_ewma,24,0.3 to 0.4,15,0.344660,0.066667
first_passage_ewma,24,0.4 to 0.5,25,0.453409,0.040000
first_passage_ewma,24,0.5 to 0.6,29,0.546284,0.137931
first_passage_ewma,24,0.6 to 0.7,47,0.645560,0.234043
first_passage_ewma,24,0.7 to 0.8,21,0.731855,0.476190
first_passage_ewma,24,0.8 to 0.9,30,0.823925,0.200000
first_passage_ewma,24,0.9 to 1.0,5943,0.999727,0.999663
first_passage_ewma,48,0.0 to 0.1,512,0.000656,0.000000
first_passage_ewma,48,0.1 to 0.2,5,0.147403,0.000000
first_passage_ewma,48,0.2 to 0.3,11,0.265540,0.272727
first_passage_ewma,48,0.3 to 0.4,24,0.359147,0.250000
first_passage_ewma,48,0.4 to 0.5,21,0.443324,0.095238
first_passage_ewma,48,0.5 to 0.6,32,0.566348,0.062500
first_passage_ewma,48,0.6 to 0.7,26,0.653488,0.153846
first_passage_ewma,48,0.7 to 0.8,66,0.748044,0.257576
first_passage_ewma,48,0.8 to 0.9,33,0.862379,0.939394
first_passage_ewma,48,0.9 to 1.0,5610,0.999738,0.999822
