device,model,horizon_h,n,n_cross,brier,log_loss
ALL,base_rate,6,6970,6166,0.114578,0.349174
ALL,first_passage_ewma,6,6970,6166,0.008851,0.060262
ALL,first_passage_zero,6,6970,6166,0.008956,0.060633
ALL,persistence_alert,6,6970,6166,0.005595,0.193259
SE01-LS-1,base_rate,6,1394,852,0.386692,1.028891
SE01-LS-1,first_passage_ewma,6,1394,852,0.000000,0.000000
SE01-LS-1,first_passage_zero,6,1394,852,0.000000,0.000000
SE01-LS-1,persistence_alert,6,1394,852,0.000000,0.000000
SE01-LS-2,base_rate,6,1394,1358,0.037090,0.192382
SE01-LS-2,first_passage_ewma,6,1394,1358,0.005215,0.062104
SE01-LS-2,first_passage_zero,6,1394,1358,0.005379,0.062494
SE01-LS-2,persistence_alert,6,1394,1358,0.010043,0.346876
SE01-LS-3,base_rate,6,1394,1394,0.000069,0.008253
SE01-LS-3,first_passage_ewma,6,1394,1394,0.000623,0.001742
SE01-LS-3,first_passage_zero,6,1394,1394,0.000580,0.001645
SE01-LS-3,persistence_alert,6,1394,1394,0.003587,0.123884
SE01-LS-4,base_rate,6,1394,1168,0.147601,0.478231
SE01-LS-4,first_passage_ewma,6,1394,1168,0.038416,0.237465
SE01-LS-4,first_passage_zero,6,1394,1168,0.038819,0.239024
SE01-LS-4,persistence_alert,6,1394,1168,0.014347,0.495536
SE0X-LS-1,base_rate,6,1394,1394,0.001434,0.038115
SE0X-LS-1,first_passage_ewma,6,1394,1394,0.000000,0.000000
SE0X-LS-1,first_passage_zero,6,1394,1394,0.000000,0.000000
SE0X-LS-1,persistence_alert,6,1394,1394,0.000000,0.000000
ALL,base_rate,12,6880,6110,0.110982,0.336003
ALL,first_passage_ewma,12,6880,6110,0.009148,0.042608
ALL,first_passage_zero,12,6880,6110,0.009303,0.043106
ALL,persistence_alert,12,6880,6110,0.009448,0.326311
SE01-LS-1,base_rate,12,1376,840,0.385753,1.025093
SE01-LS-1,first_passage_ewma,12,1376,840,0.000000,0.000000
SE01-LS-1,first_passage_zero,12,1376,840,0.000000,0.000000
SE01-LS-1,persistence_alert,12,1376,840,0.000000,0.000000
SE01-LS-2,base_rate,12,1376,1352,0.028011,0.163490
SE01-LS-2,first_passage_ewma,12,1376,1352,0.006069,0.065110
SE01-LS-2,first_passage_zero,12,1376,1352,0.006052,0.065167
SE01-LS-2,persistence_alert,12,1376,1352,0.018895,0.652623
SE01-LS-3,base_rate,12,1376,1376,0.000004,0.002072
SE01-LS-3,first_passage_ewma,12,1376,1376,0.000370,0.001192
SE01-LS-3,first_passage_zero,12,1376,1376,0.000326,0.001092
SE01-LS-3,persistence_alert,12,1376,1376,0.003634,0.125504
SE01-LS-4,base_rate,12,1376,1166,0.140354,0.461232
SE01-LS-4,first_passage_ewma,12,1376,1166,0.039300,0.146736
SE01-LS-4,first_passage_zero,12,1376,1166,0.040139,0.149268
SE01-LS-4,persistence_alert,12,1376,1166,0.024709,0.853430
SE0X-LS-1,base_rate,12,1376,1376,0.000789,0.028128
SE0X-LS-1,first_passage_ewma,12,1376,1376,0.000000,0.000000
SE0X-LS-1,first_passage_zero,12,1376,1376,0.000000,0.000000
SE0X-LS-1,persistence_alert,12,1376,1376,0.000000,0.000000
ALL,base_rate,24,6700,5979,0.105835,0.315905
ALL,first_passage_ewma,24,6700,5979,0.009196,0.034985
ALL,first_passage_zero,24,6700,5979,0.009415,0.035493
ALL,persistence_alert,24,6700,5979,0.014925,0.515504
SE01-LS-1,base_rate,24,1340,816,0.383970,1.017940
SE01-LS-1,first_passage_ewma,24,1340,816,0.000000,0.000000
SE01-LS-1,first_passage_zero,24,1340,816,0.000000,0.000000
SE01-LS-1,persistence_alert,24,1340,816,0.000000,0.000000
SE01-LS-2,base_rate,24,1340,1333,0.013435,0.111693
SE01-LS-2,first_passage_ewma,24,1340,1333,0.005621,0.041113
SE01-LS-2,first_passage_zero,24,1340,1333,0.005088,0.039817
SE01-LS-2,persistence_alert,24,1340,1333,0.030597,1.056784
SE01-LS-3,base_rate,24,1340,1340,0.000000,0.000000
SE01-LS-3,first_passage_ewma,24,1340,1340,0.000218,0.000854
SE01-LS-3,first_passage_zero,24,1340,1340,0.000177,0.000751
SE01-LS-3,persistence_alert,24,1340,1340,0.003731,0.128876
SE01-LS-4,base_rate,24,1340,1150,0.131689,0.441031
SE01-LS-4,first_passage_ewma,24,1340,1150,0.040144,0.132958
SE01-LS-4,first_passage_zero,24,1340,1150,0.041808,0.136896
SE01-LS-4,persistence_alert,24,1340,1150,0.040299,1.391862
SE0X-LS-1,base_rate,24,1340,1340,0.000080,0.008863
SE0X-LS-1,first_passage_ewma,24,1340,1340,0.000000,0.000000
SE0X-LS-1,first_passage_zero,24,1340,1340,0.000000,0.000000
SE0X-LS-1,persistence_alert,24,1340,1340,0.000000,0.000000
ALL,base_rate,48,6340,5674,0.101158,0.296125
ALL,first_passage_ewma,48,6340,5674,0.009931,0.031983
ALL,first_passage_zero,48,6340,5674,0.010290,0.032791
ALL,persistence_alert,48,6340,5674,0.020347,0.702761
SE01-LS-1,base_rate,48,1268,768,0.380842,1.005463
SE01-LS-1,first_passage_ewma,48,1268,768,0.000000,0.000005
SE01-LS-1,first_passage_zero,48,1268,768,0.000000,0.000009
SE01-LS-1,persistence_alert,48,1268,768,0.000000,0.000000
SE01-LS-2,base_rate,48,1268,1268,0.003309,0.058538
SE01-LS-2,first_passage_ewma,48,1268,1268,0.005292,0.016020
SE01-LS-2,first_passage_zero,48,1268,1268,0.004237,0.013524
SE01-LS-2,persistence_alert,48,1268,1268,0.036278,1.252984
SE01-LS-3,base_rate,48,1268,1268,0.000000,0.000000
SE01-LS-3,first_passage_ewma,48,1268,1268,0.000133,0.000650
SE01-LS-3,first_passage_zero,48,1268,1268,0.000096,0.000539
SE01-LS-3,persistence_alert,48,1268,1268,0.003943,0.136194
SE01-LS-4,base_rate,48,1268,1102,0.121638,0.416625
SE01-LS-4,first_passage_ewma,48,1268,1102,0.044232,0.143242
SE01-LS-4,first_passage_zero,48,1268,1102,0.047117,0.149885
SE01-LS-4,persistence_alert,48,1268,1102,0.061514,2.124626
SE0X-LS-1,base_rate,48,1268,1268,0.000000,0.000000
SE0X-LS-1,first_passage_ewma,48,1268,1268,0.000000,0.000000
SE0X-LS-1,first_passage_zero,48,1268,1268,0.000000,0.000000
SE0X-LS-1,persistence_alert,48,1268,1268,0.000000,0.000000
