device,model,horizon_h,threshold_mm,subset,n,mae,rmse,skill_vs_persistence,skill_fold_min,gate_fired_frac
SE01-LS-1,persistence,6,,event,60,0.6474,1.2652,0.0,0.0,
SE01-LS-1,gated_wb,6,0.5,event,60,0.638,1.2307,0.0145,0.0145,0.0343
SE01-LS-1,gated_wb,6,1.0,event,60,0.638,1.2307,0.0145,0.0145,0.0343
SE01-LS-1,gated_wb,6,2.0,event,60,0.638,1.2307,0.0145,0.0145,0.0314
SE01-LS-1,gated_wb,6,5.0,event,60,0.6399,1.2322,0.0116,0.0116,0.0228
SE01-LS-1,gated_wb_selected,6,,event,60,0.6399,1.2322,0.0116,0.0116,0.025
SE01-LS-1,persistence,6,,quiet,1341,0.0792,0.1114,0.0,0.0,
SE01-LS-1,gated_wb,6,0.5,quiet,1341,0.08,0.1123,-0.0096,-0.0841,0.0343
SE01-LS-1,gated_wb,6,1.0,quiet,1341,0.08,0.1123,-0.0096,-0.0841,0.0343
SE01-LS-1,gated_wb,6,2.0,quiet,1341,0.08,0.1123,-0.0093,-0.0841,0.0314
SE01-LS-1,gated_wb,6,5.0,quiet,1341,0.0799,0.1122,-0.0079,-0.0783,0.0228
SE01-LS-1,gated_wb_selected,6,,quiet,1341,0.0799,0.1122,-0.0085,-0.0841,0.025
SE01-LS-1,persistence,6,,all,1401,0.1036,0.2836,0.0,0.0,
SE01-LS-1,gated_wb,6,0.5,all,1401,0.1039,0.2774,-0.0031,-0.0841,0.0343
SE01-LS-1,gated_wb,6,1.0,all,1401,0.1039,0.2774,-0.0031,-0.0841,0.0343
SE01-LS-1,gated_wb,6,2.0,all,1401,0.1039,0.2774,-0.0029,-0.0841,0.0314
SE01-LS-1,gated_wb,6,5.0,all,1401,0.1039,0.2776,-0.0027,-0.0783,0.0228
SE01-LS-1,gated_wb_selected,6,,all,1401,0.1039,0.2776,-0.0031,-0.0841,0.025
SE01-LS-1,gated_wb,6,0.5,fired,48,0.6601,1.333,-0.0145,-1.41,0.0343
SE01-LS-1,gated_wb,6,1.0,fired,48,0.6601,1.333,-0.0145,-1.41,0.0343
SE01-LS-1,gated_wb,6,2.0,fired,44,0.6901,1.3879,-0.0142,-1.41,0.0314
SE01-LS-1,gated_wb,6,5.0,fired,32,0.8443,1.5932,-0.0147,-2.3073,0.0228
SE01-LS-1,gated_wb_selected,6,,fired,35,0.781,1.5237,-0.0167,-1.41,0.025
SE01-LS-1,persistence,12,,event,60,1.164,1.8683,0.0,0.0,
SE01-LS-1,gated_wb,12,0.5,event,60,1.1602,1.7755,0.0032,0.0032,0.0444
SE01-LS-1,gated_wb,12,1.0,event,60,1.1602,1.7755,0.0032,0.0032,0.0444
SE01-LS-1,gated_wb,12,2.0,event,60,1.1601,1.7755,0.0034,0.0034,0.0423
SE01-LS-1,gated_wb,12,5.0,event,60,1.1568,1.7751,0.0062,0.0062,0.0337
SE01-LS-1,gated_wb_selected,12,,event,60,1.1568,1.7751,0.0062,0.0062,0.0337
SE01-LS-1,persistence,12,,quiet,1335,0.1309,0.1752,0.0,0.0,
SE01-LS-1,gated_wb,12,0.5,quiet,1335,0.1332,0.1799,-0.018,-0.1213,0.0444
SE01-LS-1,gated_wb,12,1.0,quiet,1335,0.1332,0.1799,-0.018,-0.1213,0.0444
SE01-LS-1,gated_wb,12,2.0,quiet,1335,0.1332,0.1799,-0.0178,-0.1213,0.0423
SE01-LS-1,gated_wb,12,5.0,quiet,1335,0.133,0.1796,-0.0164,-0.1145,0.0337
SE01-LS-1,gated_wb_selected,12,,quiet,1335,0.133,0.1796,-0.0164,-0.1145,0.0337
SE01-LS-1,persistence,12,,all,1395,0.1753,0.4237,0.0,0.0,
SE01-LS-1,gated_wb,12,0.5,all,1395,0.1774,0.4081,-0.0119,-0.1213,0.0444
SE01-LS-1,gated_wb,12,1.0,all,1395,0.1774,0.4081,-0.0119,-0.1213,0.0444
SE01-LS-1,gated_wb,12,2.0,all,1395,0.1774,0.4081,-0.0117,-0.1213,0.0423
SE01-LS-1,gated_wb,12,5.0,all,1395,0.1771,0.4079,-0.01,-0.1145,0.0337
SE01-LS-1,gated_wb_selected,12,,all,1395,0.1771,0.4079,-0.01,-0.1145,0.0337
SE01-LS-1,gated_wb,12,0.5,fired,62,1.0394,1.7225,-0.0473,-1.378,0.0444
SE01-LS-1,gated_wb,12,1.0,fired,62,1.0394,1.7225,-0.0473,-1.378,0.0444
SE01-LS-1,gated_wb,12,2.0,fired,59,1.0765,1.7642,-0.0473,-1.378,0.0423
SE01-LS-1,gated_wb,12,5.0,fired,47,1.2889,1.9699,-0.0419,-1.5909,0.0337
SE01-LS-1,gated_wb_selected,12,,fired,47,1.2889,1.9699,-0.0419,-1.5909,0.0337
SE01-LS-1,persistence,24,,event,60,1.7664,2.4944,0.0,0.0,
SE01-LS-1,gated_wb,24,0.5,event,60,1.2518,1.648,0.2914,0.2914,0.0622
SE01-LS-1,gated_wb,24,1.0,event,60,1.2518,1.648,0.2914,0.2914,0.0622
SE01-LS-1,gated_wb,24,2.0,event,60,1.251,1.6479,0.2918,0.2918,0.06
SE01-LS-1,gated_wb,24,5.0,event,60,1.2425,1.6463,0.2966,0.2966,0.0513
SE01-LS-1,gated_wb_selected,24,,event,60,1.2425,1.6463,0.2966,0.2966,0.0513
SE01-LS-1,persistence,24,,quiet,1323,0.2145,0.275,0.0,0.0,
SE01-LS-1,gated_wb,24,0.5,quiet,1323,0.2606,0.4292,-0.2151,-2.4325,0.0622
