device,start,end,trough,peak,jump,span_h,attribution
SE01-LS-1,2026-02-11 17:00:00+00:00,2026-02-12 05:00:00+00:00,30.775,31.51,0.735,12,rain
SE01-LS-1,2026-02-15 07:00:00+00:00,2026-02-15 14:00:00+00:00,30.441,32.368,1.927,7,rain
SE01-LS-1,2026-02-15 21:00:00+00:00,2026-02-16 02:00:00+00:00,32.188,44.134,11.946,5,rain
SE01-LS-1,2026-02-18 17:00:00+00:00,2026-02-18 19:00:00+00:00,37.218,37.794,0.575,2,rain
SE01-LS-1,2026-02-19 00:00:00+00:00,2026-02-19 04:00:00+00:00,36.708,38.632,1.924,4,rain
SE01-LS-1,2026-02-19 05:00:00+00:00,2026-02-19 14:00:00+00:00,38.505,43.955,5.451,9,rain
SE01-LS-1,2026-02-22 18:00:00+00:00,2026-02-23 01:00:00+00:00,33.67,34.306,0.636,7,rain
SE01-LS-1,2026-03-11 21:00:00+00:00,2026-03-12 04:00:00+00:00,29.61,30.281,0.671,7,irrigation
SE01-LS-1,2026-03-16 00:00:00+00:00,2026-03-16 08:00:00+00:00,28.949,29.46,0.51,8,irrigation
SE01-LS-1,2026-04-20 18:00:00+00:00,2026-04-20 23:00:00+00:00,27.932,31.939,4.007,5,rain
SE01-LS-1,2026-04-22 08:00:00+00:00,2026-04-22 13:00:00+00:00,31.236,32.356,1.119,5,rain
SE01-LS-2,2026-02-11 08:00:00+00:00,2026-02-11 16:00:00+00:00,20.78,26.525,5.745,8,rain
SE01-LS-2,2026-02-15 07:00:00+00:00,2026-02-15 10:00:00+00:00,23.948,28.244,4.296,3,rain
SE01-LS-2,2026-02-15 21:00:00+00:00,2026-02-15 23:00:00+00:00,26.696,31.596,4.901,2,rain
SE01-LS-2,2026-02-16 00:00:00+00:00,2026-02-16 03:00:00+00:00,31.155,44.84,13.685,3,rain
SE01-LS-2,2026-02-19 04:00:00+00:00,2026-02-19 11:00:00+00:00,25.66,29.312,3.652,7,rain
SE01-LS-2,2026-02-22 22:00:00+00:00,2026-02-23 02:00:00+00:00,24.554,26.677,2.123,4,rain
SE01-LS-2,2026-02-24 08:00:00+00:00,2026-02-24 19:00:00+00:00,25.598,29.039,3.441,11,rain
SE01-LS-2,2026-02-24 21:00:00+00:00,2026-02-25 02:00:00+00:00,28.814,40.822,12.008,5,rain
SE01-LS-2,2026-04-10 12:00:00+00:00,2026-04-10 23:00:00+00:00,18.55,24.227,5.677,11,rain
SE01-LS-2,2026-04-11 15:00:00+00:00,2026-04-11 21:00:00+00:00,23.45,24.742,1.292,6,rain
SE01-LS-2,2026-04-11 22:00:00+00:00,2026-04-12 00:00:00+00:00,24.694,27.592,2.898,2,rain
SE01-LS-2,2026-04-12 05:00:00+00:00,2026-04-12 08:00:00+00:00,25.751,26.382,0.631,3,rain
SE01-LS-2,2026-04-12 14:00:00+00:00,2026-04-12 18:00:00+00:00,25.603,26.838,1.235,4,rain
SE01-LS-2,2026-04-20 18:00:00+00:00,2026-04-20 23:00:00+00:00,21.74,27.432,5.692,5,rain
SE01-LS-2,2026-04-22 10:00:00+00:00,2026-04-22 15:00:00+00:00,24.595,25.729,1.135,5,rain
SE01-LS-3,2026-02-11 07:00:00+00:00,2026-02-11 19:00:00+00:00,19.294,22.494,3.199,12,rain
SE01-LS-3,2026-02-15 08:00:00+00:00,2026-02-15 11:00:00+00:00,21.839,23.855,2.015,3,rain
SE01-LS-3,2026-02-15 21:00:00+00:00,2026-02-15 23:00:00+00:00,23.585,27.082,3.497,2,rain
SE01-LS-3,2026-02-16 00:00:00+00:00,2026-02-16 02:00:00+00:00,26.115,27.968,1.853,2,rain
SE01-LS-3,2026-02-16 08:00:00+00:00,2026-02-16 10:00:00+00:00,25.006,25.586,0.579,2,rain
SE01-LS-3,2026-02-19 04:00:00+00:00,2026-02-19 11:00:00+00:00,23.064,26.194,3.131,7,rain
SE01-LS-3,2026-02-22 21:00:00+00:00,2026-02-23 04:00:00+00:00,22.538,23.46,0.922,7,rain
SE01-LS-3,2026-02-24 10:00:00+00:00,2026-02-24 19:00:00+00:00,22.912,26.067,3.156,9,rain
SE01-LS-3,2026-02-24 20:00:00+00:00,2026-02-25 01:00:00+00:00,26.006,28.478,2.472,5,rain
SE01-LS-3,2026-04-10 11:00:00+00:00,2026-04-10 19:00:00+00:00,16.037,20.109,4.072,8,rain
SE01-LS-3,2026-04-12 05:00:00+00:00,2026-04-12 07:00:00+00:00,22.632,24.846,2.213,2,rain
SE01-LS-3,2026-04-12 13:00:00+00:00,2026-04-12 16:00:00+00:00,22.64,25.643,3.003,3,rain
SE01-LS-3,2026-04-20 18:00:00+00:00,2026-04-20 21:00:00+00:00,19.49,26.354,6.864,3,rain
SE01-LS-3,2026-04-21 00:00:00+00:00,2026-04-21 01:00:00+00:00,24.352,25.145,0.794,1,rain
SE01-LS-3,2026-04-21 04:00:00+00:00,2026-04-21 06:00:00+00:00,23.731,24.53,0.8,2,rain
SE01-LS-3,2026-04-22 09:00:00+00:00,2026-04-22 12:00:00+00:00,22.205,23.19,0.985,3,rain
SE01-LS-4,2026-02-12 04:00:00+00:00,2026-02-12 15:00:00+00:00,23.4,24.0,0.6,11,rain
SE01-LS-4,2026-02-15 06:00:00+00:00,2026-02-15 17:00:00+00:00,23.728,24.747,1.02,11,rain
SE01-LS-4,2026-02-15 19:00:00+00:00,2026-02-16 03:00:00+00:00,24.72,41.44,16.72,8,rain
SE01-LS-4,2026-02-19 09:00:00+00:00,2026-02-19 18:00:00+00:00,25.79,27.92,2.13,9,rain
