device,barrier,horizon_h,cost_ratio,boundary_sigmas,sigma_median,boundary_level,premium_level
SE01-LS-1,25.000000,6,0.020000,4.940074,0.015716,25.077640,0.077640
SE01-LS-1,25.000000,12,0.020000,4.974893,0.015716,25.078188,0.078188
SE01-LS-1,25.000000,24,0.020000,4.986635,0.015716,25.078372,0.078372
SE01-LS-1,25.000000,48,0.020000,4.990662,0.015716,25.078435,0.078435
SE01-LS-1,25.000000,6,0.050000,4.084009,0.015716,25.064186,0.064186
SE01-LS-1,25.000000,12,0.050000,4.938187,0.015716,25.077611,0.077611
SE01-LS-1,25.000000,24,0.050000,4.977237,0.015716,25.078224,0.078224
SE01-LS-1,25.000000,48,0.050000,4.989091,0.015716,25.078411,0.078411
SE01-LS-1,25.000000,6,0.100000,3.355838,0.015716,25.052742,0.052742
SE01-LS-1,25.000000,12,0.100000,4.402403,0.015716,25.069190,0.069190
SE01-LS-1,25.000000,24,0.100000,4.957063,0.015716,25.077907,0.077907
SE01-LS-1,25.000000,48,0.100000,4.985837,0.015716,25.078360,0.078360
SE01-LS-1,25.000000,6,0.200000,2.637170,0.015716,25.041447,0.041447
SE01-LS-1,25.000000,12,0.200000,3.566099,0.015716,25.056046,0.056046
SE01-LS-1,25.000000,24,0.200000,4.896768,0.015716,25.076960,0.076960
SE01-LS-1,25.000000,48,0.200000,4.976886,0.015716,25.078219,0.078219
SE01-LS-1,25.000000,6,0.300000,2.167408,0.015716,25.034064,0.034064
SE01-LS-1,25.000000,12,0.300000,3.130105,0.015716,25.049194,0.049194
SE01-LS-1,25.000000,24,0.300000,4.091732,0.015716,25.064307,0.064307
SE01-LS-1,25.000000,48,0.300000,4.963869,0.015716,25.078014,0.078014
SE01-LS-1,25.000000,6,0.500000,1.472018,0.015716,25.023135,0.023135
SE01-LS-1,25.000000,12,0.500000,2.337023,0.015716,25.036730,0.036730
SE01-LS-1,25.000000,24,0.500000,3.358038,0.015716,25.052776,0.052776
SE01-LS-1,25.000000,48,0.500000,4.916429,0.015716,25.077269,0.077269
SE01-LS-2,25.000000,6,0.020000,4.885571,0.025988,25.126966,0.126966
SE01-LS-2,25.000000,12,0.020000,5.026077,0.025988,25.130617,0.130617
SE01-LS-2,25.000000,24,0.020000,5.044669,0.025988,25.131100,0.131100
SE01-LS-2,25.000000,48,0.020000,5.054153,0.025988,25.131347,0.131347
SE01-LS-2,25.000000,6,0.050000,3.363890,0.025988,25.087420,0.087420
SE01-LS-2,25.000000,12,0.050000,4.583791,0.025988,25.119123,0.119123
SE01-LS-2,25.000000,24,0.050000,5.012647,0.025988,25.130268,0.130268
SE01-LS-2,25.000000,48,0.050000,5.040471,0.025988,25.130991,0.130991
SE01-LS-2,25.000000,6,0.100000,2.587371,0.025988,25.067240,0.067240
SE01-LS-2,25.000000,12,0.100000,3.385322,0.025988,25.087977,0.087977
SE01-LS-2,25.000000,24,0.100000,4.663219,0.025988,25.121187,0.121187
SE01-LS-2,25.000000,48,0.100000,5.013817,0.025988,25.130299,0.130299
SE01-LS-2,25.000000,6,0.200000,1.887976,0.025988,25.049065,0.049065
SE01-LS-2,25.000000,12,0.200000,2.583067,0.025988,25.067128,0.067128
SE01-LS-2,25.000000,24,0.200000,3.377837,0.025988,25.087783,0.087783
SE01-LS-2,25.000000,48,0.200000,4.692896,0.025988,25.121959,0.121959
SE01-LS-2,25.000000,6,0.300000,1.519268,0.025988,25.039483,0.039483
SE01-LS-2,25.000000,12,0.300000,2.096916,0.025988,25.054494,0.054494
SE01-LS-2,25.000000,24,0.300000,2.825766,0.025988,25.073436,0.073436
SE01-LS-2,25.000000,48,0.300000,3.557926,0.025988,25.092463,0.092463
SE01-LS-2,25.000000,6,0.500000,0.912778,0.025988,25.023721,0.023721
SE01-LS-2,25.000000,12,0.500000,1.473248,0.025988,25.038287,0.038287
SE01-LS-2,25.000000,24,0.500000,2.006483,0.025988,25.052144,0.052144
SE01-LS-2,25.000000,48,0.500000,2.818420,0.025988,25.073245,0.073245
SE01-LS-3,25.000000,6,0.020000,4.048037,0.020380,25.082500,0.082500
SE01-LS-3,25.000000,12,0.020000,4.092899,0.020380,25.083414,0.083414
SE01-LS-3,25.000000,24,0.020000,4.111115,0.020380,25.083786,0.083786
SE01-LS-3,25.000000,48,0.020000,4.121102,0.020380,25.083989,0.083989
SE01-LS-3,25.000000,6,0.050000,3.170668,0.020380,25.064619,0.064619
SE01-LS-3,25.000000,12,0.050000,3.851482,0.020380,25.078494,0.078494
SE01-LS-3,25.000000,24,0.050000,4.079736,0.020380,25.083146,0.083146
SE01-LS-3,25.000000,48,0.050000,4.106834,0.020380,25.083698,0.083698
SE01-LS-3,25.000000,6,0.100000,2.642504,0.020380,25.053855,0.053855
SE01-LS-3,25.000000,12,0.100000,3.167655,0.020380,25.064558,0.064558
SE01-LS-3,25.000000,24,0.100000,3.827397,0.020380,25.078003,0.078003
SE01-LS-3,25.000000,48,0.100000,4.080313,0.020380,25.083158,0.083158
SE01-LS-3,25.000000,6,0.200000,1.965235,0.020380,25.040052,0.040052
SE01-LS-3,25.000000,12,0.200000,2.611009,0.020380,25.053213,0.053213
SE01-LS-3,25.000000,24,0.200000,3.145793,0.020380,25.064112,0.064112
SE01-LS-3,25.000000,48,0.200000,3.803119,0.020380,25.077509,0.077509
SE01-LS-3,25.000000,6,0.300000,1.579149,0.020380,25.032184,0.032184
SE01-LS-3,25.000000,12,0.300000,2.148412,0.020380,25.043785,0.043785
SE01-LS-3,25.000000,24,0.300000,2.692692,0.020380,25.054878,0.054878
SE01-LS-3,25.000000,48,0.300000,3.201578,0.020380,25.065249,0.065249
SE01-LS-3,25.000000,6,0.500000,0.950191,0.020380,25.019365,0.019365
SE01-LS-3,25.000000,12,0.500000,1.518745,0.020380,25.030952,0.030952
SE01-LS-3,25.000000,24,0.500000,2.076907,0.020380,25.042328,0.042328
SE01-LS-3,25.000000,48,0.500000,2.671868,0.020380,25.054453,0.054453
SE01-LS-4,25.000000,6,0.020000,5.972282,0.012725,25.075998,0.075998
SE01-LS-4,25.000000,12,0.020000,5.997416,0.012725,25.076318,0.076318
SE01-LS-4,25.000000,24,0.020000,6.004744,0.012725,25.076411,0.076411
SE01-LS-4,25.000000,48,0.020000,6.007531,0.012725,25.076447,0.076447
SE01-LS-4,25.000000,6,0.050000,4.629632,0.012725,25.058913,0.058913
SE01-LS-4,25.000000,12,0.050000,5.969242,0.012725,25.075959,0.075959
SE01-LS-4,25.000000,24,0.050000,5.997815,0.012725,25.076323,0.076323
SE01-LS-4,25.000000,48,0.050000,6.006315,0.012725,25.076431,0.076431
SE01-LS-4,25.000000,6,0.100000,3.677593,0.012725,25.046798,0.046798
SE01-LS-4,25.000000,12,0.100000,5.311736,0.012725,25.067593,0.067593
SE01-LS-4,25.000000,24,0.100000,5.981965,0.012725,25.076121,0.076121
SE01-LS-4,25.000000,48,0.100000,6.003675,0.012725,25.076398,0.076398
SE01-LS-4,25.000000,6,0.200000,2.637455,0.012725,25.033562,0.033562
SE01-LS-4,25.000000,12,0.200000,4.182713,0.012725,25.053226,0.053226
SE01-LS-4,25.000000,24,0.200000,5.930452,0.012725,25.075466,0.075466
SE01-LS-4,25.000000,48,0.200000,5.996050,0.012725,25.076301,0.076301
SE01-LS-4,25.000000,6,0.300000,2.064129,0.012725,25.026266,0.026266
SE01-LS-4,25.000000,12,0.300000,3.423288,0.012725,25.043562,0.043562
SE01-LS-4,25.000000,24,0.300000,4.963724,0.012725,25.063164,0.063164
SE01-LS-4,25.000000,48,0.300000,5.984589,0.012725,25.076155,0.076155
SE01-LS-4,25.000000,6,0.500000,1.418498,0.012725,25.018051,0.018051
SE01-LS-4,25.000000,12,0.500000,2.486459,0.012725,25.031641,0.031641
SE01-LS-4,25.000000,24,0.500000,3.900038,0.012725,25.049628,0.049628
SE01-LS-4,25.000000,48,0.500000,5.941617,0.012725,25.075608,0.075608
SE0X-LS-1,25.000000,6,0.020000,4.368415,0.022252,25.097207,0.097207
SE0X-LS-1,25.000000,12,0.020000,4.419172,0.022252,25.098336,0.098336
SE0X-LS-1,25.000000,24,0.020000,4.436474,0.022252,25.098721,0.098721
