device,barrier_mode,barrier,model,horizon_h,n,n_cross,base_rate,brier,log_loss,brier_skill_vs_gauss_cont
SE01-LS-1,drawdown,0.300000,base_rate,6,1394,42,0.030129,0.031350,0.154284,0.365983
SE01-LS-1,drawdown,0.300000,filtered_empirical,6,1394,42,0.030129,0.028943,0.107709,0.414668
SE01-LS-1,drawdown,0.300000,gauss_continuous,6,1394,42,0.030129,0.049447,0.160202,0.000000
SE01-LS-1,drawdown,0.300000,gauss_discrete,6,1394,42,0.030129,0.034829,0.124744,0.295631
SE01-LS-1,drawdown,0.300000,persistence_alert,6,1394,42,0.030129,0.055954,1.932608,-0.131595
SE01-LS-2,drawdown,0.300000,base_rate,6,1394,47,0.033716,0.034041,0.160675,0.537790
SE01-LS-2,drawdown,0.300000,filtered_empirical,6,1394,47,0.033716,0.029409,0.109713,0.600682
SE01-LS-2,drawdown,0.300000,gauss_continuous,6,1394,47,0.033716,0.073649,0.214135,0.000000
SE01-LS-2,drawdown,0.300000,gauss_discrete,6,1394,47,0.033716,0.047067,0.155438,0.360933
SE01-LS-2,drawdown,0.300000,persistence_alert,6,1394,47,0.033716,0.033716,1.164519,0.542208
SE01-LS-3,drawdown,0.300000,base_rate,6,1394,70,0.050215,0.048320,0.205101,0.645944
SE01-LS-3,drawdown,0.300000,filtered_empirical,6,1394,70,0.050215,0.069829,0.216710,0.488340
SE01-LS-3,drawdown,0.300000,gauss_continuous,6,1394,70,0.050215,0.136475,0.365053,0.000000
SE01-LS-3,drawdown,0.300000,gauss_discrete,6,1394,70,0.050215,0.089391,0.259492,0.344999
SE01-LS-3,drawdown,0.300000,persistence_alert,6,1394,70,0.050215,0.075323,2.601586,0.448084
SE01-LS-4,drawdown,0.300000,base_rate,6,1394,27,0.019369,0.019605,0.104586,0.415596
SE01-LS-4,drawdown,0.300000,filtered_empirical,6,1394,27,0.019369,0.016626,0.085629,0.504403
SE01-LS-4,drawdown,0.300000,gauss_continuous,6,1394,27,0.019369,0.033548,0.149017,0.000000
SE01-LS-4,drawdown,0.300000,gauss_discrete,6,1394,27,0.019369,0.022847,0.125472,0.318981
SE01-LS-4,drawdown,0.300000,persistence_alert,6,1394,27,0.019369,0.018651,0.644202,0.444037
SE0X-LS-1,drawdown,0.300000,base_rate,6,1394,0,0.000000,0.000949,0.030881,0.241274
SE0X-LS-1,drawdown,0.300000,filtered_empirical,6,1394,0,0.000000,0.000158,0.005268,0.873803
SE0X-LS-1,drawdown,0.300000,gauss_continuous,6,1394,0,0.000000,0.001250,0.013418,0.000000
SE0X-LS-1,drawdown,0.300000,gauss_discrete,6,1394,0,0.000000,0.000542,0.008499,0.566484
SE0X-LS-1,drawdown,0.300000,persistence_alert,6,1394,0,0.000000,0.000000,0.000000,1.000000
SE01-LS-1,drawdown,0.300000,base_rate,12,1376,134,0.097384,0.102710,0.370561,-0.219130
SE01-LS-1,drawdown,0.300000,filtered_empirical,12,1376,134,0.097384,0.068799,0.241896,0.183377
SE01-LS-1,drawdown,0.300000,gauss_continuous,12,1376,134,0.097384,0.084248,0.280038,0.000000
SE01-LS-1,drawdown,0.300000,gauss_discrete,12,1376,134,0.097384,0.072923,0.255873,0.134425
SE01-LS-1,drawdown,0.300000,persistence_alert,12,1376,134,0.097384,0.162064,5.597555,-0.923644
SE01-LS-2,drawdown,0.300000,base_rate,12,1376,79,0.057413,0.059951,0.250524,0.441431
SE01-LS-2,drawdown,0.300000,filtered_empirical,12,1376,79,0.057413,0.054508,0.181393,0.492139
SE01-LS-2,drawdown,0.300000,gauss_continuous,12,1376,79,0.057413,0.107329,0.303788,0.000000
SE01-LS-2,drawdown,0.300000,gauss_discrete,12,1376,79,0.057413,0.078377,0.237931,0.269754
SE01-LS-2,drawdown,0.300000,persistence_alert,12,1376,79,0.057413,0.066860,2.309304,0.377052
SE01-LS-3,drawdown,0.300000,base_rate,12,1376,180,0.130814,0.117162,0.402039,0.279139
SE01-LS-3,drawdown,0.300000,filtered_empirical,12,1376,180,0.130814,0.116192,0.342000,0.285112
SE01-LS-3,drawdown,0.300000,gauss_continuous,12,1376,180,0.130814,0.162531,0.453850,0.000000
SE01-LS-3,drawdown,0.300000,gauss_discrete,12,1376,180,0.130814,0.128415,0.369123,0.209903
SE01-LS-3,drawdown,0.300000,persistence_alert,12,1376,180,0.130814,0.204215,7.053415,-0.256467
SE01-LS-4,drawdown,0.300000,base_rate,12,1376,59,0.042878,0.041260,0.179165,0.434760
SE01-LS-4,drawdown,0.300000,filtered_empirical,12,1376,59,0.042878,0.042365,0.218525,0.419620
SE01-LS-4,drawdown,0.300000,gauss_continuous,12,1376,59,0.042878,0.072995,0.304392,0.000000
SE01-LS-4,drawdown,0.300000,gauss_discrete,12,1376,59,0.042878,0.056948,0.274718,0.219830
SE01-LS-4,drawdown,0.300000,persistence_alert,12,1376,59,0.042878,0.050872,1.757076,0.303073
SE0X-LS-1,drawdown,0.300000,base_rate,12,1376,7,0.005087,0.006472,0.059103,0.331954
SE0X-LS-1,drawdown,0.300000,filtered_empirical,12,1376,7,0.005087,0.005023,0.026548,0.481586
SE0X-LS-1,drawdown,0.300000,gauss_continuous,12,1376,7,0.005087,0.009688,0.049055,0.000000
SE0X-LS-1,drawdown,0.300000,gauss_discrete,12,1376,7,0.005087,0.007136,0.038694,0.263459
SE0X-LS-1,drawdown,0.300000,persistence_alert,12,1376,7,0.005087,0.008721,0.301213,0.099852
SE01-LS-1,drawdown,0.300000,base_rate,24,1340,321,0.239552,0.242086,0.677161,-1.787280
SE01-LS-1,drawdown,0.300000,filtered_empirical,24,1340,321,0.239552,0.092218,0.304382,-0.061756
SE01-LS-1,drawdown,0.300000,gauss_continuous,24,1340,321,0.239552,0.086854,0.298857,0.000000
SE01-LS-1,drawdown,0.300000,gauss_discrete,24,1340,321,0.239552,0.089884,0.302718,-0.034888
SE01-LS-1,drawdown,0.300000,persistence_alert,24,1340,321,0.239552,0.154478,5.335514,-0.778593
SE01-LS-2,drawdown,0.300000,base_rate,24,1340,184,0.137313,0.138030,0.455723,-0.068114
SE01-LS-2,drawdown,0.300000,filtered_empirical,24,1340,184,0.137313,0.088816,0.291540,0.312714
SE01-LS-2,drawdown,0.300000,gauss_continuous,24,1340,184,0.137313,0.129228,0.399343,0.000000
SE01-LS-2,drawdown,0.300000,gauss_discrete,24,1340,184,0.137313,0.107287,0.344234,0.169787
SE01-LS-2,drawdown,0.300000,persistence_alert,24,1340,184,0.137313,0.125373,4.330282,0.029828
SE01-LS-3,drawdown,0.300000,base_rate,24,1340,375,0.279851,0.219197,0.635887,-0.623842
SE01-LS-3,drawdown,0.300000,filtered_empirical,24,1340,375,0.279851,0.116498,0.364630,0.136963
SE01-LS-3,drawdown,0.300000,gauss_continuous,24,1340,375,0.279851,0.134986,0.421008,0.000000
SE01-LS-3,drawdown,0.300000,gauss_discrete,24,1340,375,0.279851,0.121645,0.382410,0.098839
SE01-LS-3,drawdown,0.300000,persistence_alert,24,1340,375,0.279851,0.191791,6.624285,-0.420817
SE01-LS-4,drawdown,0.300000,base_rate,24,1340,115,0.085821,0.078724,0.294294,0.409956
SE01-LS-4,drawdown,0.300000,filtered_empirical,24,1340,115,0.085821,0.092481,0.352931,0.306841
SE01-LS-4,drawdown,0.300000,gauss_continuous,24,1340,115,0.085821,0.133420,0.432952,0.000000
SE01-LS-4,drawdown,0.300000,gauss_discrete,24,1340,115,0.085821,0.113789,0.394182,0.147138
SE01-LS-4,drawdown,0.300000,persistence_alert,24,1340,115,0.085821,0.108209,3.737438,0.188961
SE0X-LS-1,drawdown,0.300000,base_rate,24,1340,31,0.023134,0.048345,0.236135,-0.452524
SE0X-LS-1,drawdown,0.300000,filtered_empirical,24,1340,31,0.023134,0.020999,0.092216,0.369088
SE0X-LS-1,drawdown,0.300000,gauss_continuous,24,1340,31,0.023134,0.033283,0.141413,0.000000
SE0X-LS-1,drawdown,0.300000,gauss_discrete,24,1340,31,0.023134,0.027515,0.121809,0.173309
SE0X-LS-1,drawdown,0.300000,persistence_alert,24,1340,31,0.023134,0.036567,1.262996,-0.098661
SE01-LS-1,drawdown,0.300000,base_rate,48,1268,693,0.546530,0.269988,0.738127,-0.279942
SE01-LS-1,drawdown,0.300000,filtered_empirical,48,1268,693,0.546530,0.224474,0.648608,-0.064174
SE01-LS-1,drawdown,0.300000,gauss_continuous,48,1268,693,0.546530,0.210937,0.611690,0.000000
SE01-LS-1,drawdown,0.300000,gauss_discrete,48,1268,693,0.546530,0.218668,0.633537,-0.036649
SE01-LS-1,drawdown,0.300000,persistence_alert,48,1268,693,0.546530,0.272871,9.424714,-0.293611
SE01-LS-2,drawdown,0.300000,base_rate,48,1268,621,0.489748,0.299627,0.803791,-0.760607
SE01-LS-2,drawdown,0.300000,filtered_empirical,48,1268,621,0.489748,0.174554,0.534803,-0.025678
SE01-LS-2,drawdown,0.300000,gauss_continuous,48,1268,621,0.489748,0.170184,0.517012,0.000000
SE01-LS-2,drawdown,0.300000,gauss_discrete,48,1268,621,0.489748,0.171016,0.524597,-0.004889
SE01-LS-2,drawdown,0.300000,persistence_alert,48,1268,621,0.489748,0.268139,9.261249,-0.575582
SE01-LS-3,drawdown,0.300000,base_rate,48,1268,553,0.436120,0.312176,0.827564,-1.034795
SE01-LS-3,drawdown,0.300000,filtered_empirical,48,1268,553,0.436120,0.145156,0.458020,0.053857
SE01-LS-3,drawdown,0.300000,gauss_continuous,48,1268,553,0.436120,0.153419,0.468336,0.000000
SE01-LS-3,drawdown,0.300000,gauss_discrete,48,1268,553,0.436120,0.145382,0.458947,0.052384
SE01-LS-3,drawdown,0.300000,persistence_alert,48,1268,553,0.436120,0.131703,4.548899,0.141543
SE01-LS-4,drawdown,0.300000,base_rate,48,1268,357,0.281546,0.204201,0.599255,0.225757
SE01-LS-4,drawdown,0.300000,filtered_empirical,48,1268,357,0.281546,0.231968,0.662664,0.120475
SE01-LS-4,drawdown,0.300000,gauss_continuous,48,1268,357,0.281546,0.263742,0.724733,0.000000
SE01-LS-4,drawdown,0.300000,gauss_discrete,48,1268,357,0.281546,0.246646,0.688923,0.064822
SE01-LS-4,drawdown,0.300000,persistence_alert,48,1268,357,0.281546,0.343060,11.848992,-0.300740
SE0X-LS-1,drawdown,0.300000,base_rate,48,1268,413,0.325710,0.293669,0.782496,-0.812861
SE0X-LS-1,drawdown,0.300000,filtered_empirical,48,1268,413,0.325710,0.177039,0.523753,-0.092888
SE0X-LS-1,drawdown,0.300000,gauss_continuous,48,1268,413,0.325710,0.161992,0.500176,0.000000
SE0X-LS-1,drawdown,0.300000,gauss_discrete,48,1268,413,0.325710,0.167216,0.507472,-0.032249
SE0X-LS-1,drawdown,0.300000,persistence_alert,48,1268,413,0.325710,0.168770,5.829169,-0.041841
