device,barrier_mode,barrier,model,horizon_h,n,n_cross,base_rate,brier,log_loss,brier_skill_vs_gauss_cont
SE01-LS-1,fixed,25.000000,base_rate,6,1394,852,0.611191,0.386692,1.028891,
SE01-LS-1,fixed,25.000000,filtered_empirical,6,1394,852,0.611191,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,gauss_continuous,6,1394,852,0.611191,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,gauss_discrete,6,1394,852,0.611191,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,persistence_alert,6,1394,852,0.611191,0.000000,0.000000,
SE01-LS-2,fixed,25.000000,base_rate,6,1394,1358,0.974175,0.037090,0.192382,-6.111610
SE01-LS-2,fixed,25.000000,filtered_empirical,6,1394,1358,0.974175,0.004882,0.060287,0.063940
SE01-LS-2,fixed,25.000000,gauss_continuous,6,1394,1358,0.974175,0.005215,0.062104,0.000000
SE01-LS-2,fixed,25.000000,gauss_discrete,6,1394,1358,0.974175,0.004693,0.060483,0.100098
SE01-LS-2,fixed,25.000000,persistence_alert,6,1394,1358,0.974175,0.010043,0.346876,-0.925621
SE01-LS-3,fixed,25.000000,base_rate,6,1394,1394,1.000000,0.000069,0.008253,0.888662
SE01-LS-3,fixed,25.000000,filtered_empirical,6,1394,1394,1.000000,0.001278,0.003436,-1.051781
SE01-LS-3,fixed,25.000000,gauss_continuous,6,1394,1394,1.000000,0.000623,0.001742,0.000000
SE01-LS-3,fixed,25.000000,gauss_discrete,6,1394,1394,1.000000,0.001015,0.002765,-0.629677
SE01-LS-3,fixed,25.000000,persistence_alert,6,1394,1394,1.000000,0.003587,0.123884,-4.758843
SE01-LS-4,fixed,25.000000,base_rate,6,1394,1173,0.841463,0.144791,0.471375,-3.136036
SE01-LS-4,fixed,25.000000,filtered_empirical,6,1394,1173,0.841463,0.014097,0.068258,0.597310
SE01-LS-4,fixed,25.000000,gauss_continuous,6,1394,1173,0.841463,0.035007,0.136952,0.000000
SE01-LS-4,fixed,25.000000,gauss_discrete,6,1394,1173,0.841463,0.021343,0.086657,0.390329
SE01-LS-4,fixed,25.000000,persistence_alert,6,1394,1173,0.841463,0.010760,0.371652,0.692624
SE0X-LS-1,fixed,25.000000,base_rate,6,1394,1394,1.000000,0.001434,0.038115,
SE0X-LS-1,fixed,25.000000,filtered_empirical,6,1394,1394,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_continuous,6,1394,1394,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_discrete,6,1394,1394,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,persistence_alert,6,1394,1394,1.000000,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,base_rate,12,1376,840,0.610465,0.385753,1.025093,
SE01-LS-1,fixed,25.000000,filtered_empirical,12,1376,840,0.610465,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,gauss_continuous,12,1376,840,0.610465,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,gauss_discrete,12,1376,840,0.610465,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,persistence_alert,12,1376,840,0.610465,0.000000,0.000000,
SE01-LS-2,fixed,25.000000,base_rate,12,1376,1352,0.982558,0.028011,0.163490,-3.615174
SE01-LS-2,fixed,25.000000,filtered_empirical,12,1376,1352,0.982558,0.007986,0.068529,-0.315767
SE01-LS-2,fixed,25.000000,gauss_continuous,12,1376,1352,0.982558,0.006069,0.065110,0.000000
SE01-LS-2,fixed,25.000000,gauss_discrete,12,1376,1352,0.982558,0.006653,0.065822,-0.096199
SE01-LS-2,fixed,25.000000,persistence_alert,12,1376,1352,0.982558,0.018895,0.652623,-2.113253
SE01-LS-3,fixed,25.000000,base_rate,12,1376,1376,1.000000,0.000004,0.002072,0.988126
SE01-LS-3,fixed,25.000000,filtered_empirical,12,1376,1376,1.000000,0.000776,0.002198,-1.096255
SE01-LS-3,fixed,25.000000,gauss_continuous,12,1376,1376,1.000000,0.000370,0.001192,0.000000
SE01-LS-3,fixed,25.000000,gauss_discrete,12,1376,1376,1.000000,0.000622,0.001875,-0.679968
SE01-LS-3,fixed,25.000000,persistence_alert,12,1376,1376,1.000000,0.003634,0.125504,-8.810651
SE01-LS-4,fixed,25.000000,base_rate,12,1376,1167,0.848110,0.139779,0.459813,-2.619897
SE01-LS-4,fixed,25.000000,filtered_empirical,12,1376,1167,0.848110,0.018108,0.082752,0.531048
SE01-LS-4,fixed,25.000000,gauss_continuous,12,1376,1167,0.848110,0.038614,0.144169,0.000000
SE01-LS-4,fixed,25.000000,gauss_discrete,12,1376,1167,0.848110,0.027178,0.104175,0.296173
SE01-LS-4,fixed,25.000000,persistence_alert,12,1376,1167,0.848110,0.019622,0.677724,0.491841
SE0X-LS-1,fixed,25.000000,base_rate,12,1376,1376,1.000000,0.000789,0.028128,
SE0X-LS-1,fixed,25.000000,filtered_empirical,12,1376,1376,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_continuous,12,1376,1376,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_discrete,12,1376,1376,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,persistence_alert,12,1376,1376,1.000000,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,base_rate,24,1340,816,0.608955,0.383970,1.017940,
SE01-LS-1,fixed,25.000000,filtered_empirical,24,1340,816,0.608955,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,gauss_continuous,24,1340,816,0.608955,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,gauss_discrete,24,1340,816,0.608955,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,persistence_alert,24,1340,816,0.608955,0.000000,0.000000,
SE01-LS-2,fixed,25.000000,base_rate,24,1340,1333,0.994776,0.013435,0.111693,-1.390409
SE01-LS-2,fixed,25.000000,filtered_empirical,24,1340,1333,0.994776,0.009423,0.050464,-0.676627
SE01-LS-2,fixed,25.000000,gauss_continuous,24,1340,1333,0.994776,0.005621,0.041113,0.000000
SE01-LS-2,fixed,25.000000,gauss_discrete,24,1340,1333,0.994776,0.007288,0.045362,-0.296613
SE01-LS-2,fixed,25.000000,persistence_alert,24,1340,1333,0.994776,0.030597,1.056784,-4.443816
SE01-LS-3,fixed,25.000000,base_rate,24,1340,1340,1.000000,0.000000,0.000000,1.000000
SE01-LS-3,fixed,25.000000,filtered_empirical,24,1340,1340,1.000000,0.000438,0.001464,-1.005937
SE01-LS-3,fixed,25.000000,gauss_continuous,24,1340,1340,1.000000,0.000218,0.000854,0.000000
SE01-LS-3,fixed,25.000000,gauss_discrete,24,1340,1340,1.000000,0.000369,0.001325,-0.692100
SE01-LS-3,fixed,25.000000,persistence_alert,24,1340,1340,1.000000,0.003731,0.128876,-16.100445
SE01-LS-4,fixed,25.000000,base_rate,24,1340,1150,0.858209,0.131580,0.440698,-2.277744
SE01-LS-4,fixed,25.000000,filtered_empirical,24,1340,1150,0.858209,0.021431,0.093122,0.466129
SE01-LS-4,fixed,25.000000,gauss_continuous,24,1340,1150,0.858209,0.040144,0.132958,0.000000
SE01-LS-4,fixed,25.000000,gauss_discrete,24,1340,1150,0.858209,0.031355,0.114637,0.218936
SE01-LS-4,fixed,25.000000,persistence_alert,24,1340,1150,0.858209,0.034328,1.185660,0.144859
SE0X-LS-1,fixed,25.000000,base_rate,24,1340,1340,1.000000,0.000080,0.008863,
SE0X-LS-1,fixed,25.000000,filtered_empirical,24,1340,1340,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_continuous,24,1340,1340,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_discrete,24,1340,1340,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,persistence_alert,24,1340,1340,1.000000,0.000000,0.000000,
SE01-LS-1,fixed,25.000000,base_rate,48,1268,768,0.605678,0.380842,1.005463,
SE01-LS-1,fixed,25.000000,filtered_empirical,48,1268,768,0.605678,0.000000,0.000002,
SE01-LS-1,fixed,25.000000,gauss_continuous,48,1268,768,0.605678,0.000000,0.000005,
SE01-LS-1,fixed,25.000000,gauss_discrete,48,1268,768,0.605678,0.000000,0.000004,
SE01-LS-1,fixed,25.000000,persistence_alert,48,1268,768,0.605678,0.000000,0.000000,
SE01-LS-2,fixed,25.000000,base_rate,48,1268,1268,1.000000,0.003309,0.058538,0.374767
SE01-LS-2,fixed,25.000000,filtered_empirical,48,1268,1268,1.000000,0.008476,0.024088,-0.601688
SE01-LS-2,fixed,25.000000,gauss_continuous,48,1268,1268,1.000000,0.005292,0.016020,0.000000
SE01-LS-2,fixed,25.000000,gauss_discrete,48,1268,1268,1.000000,0.006722,0.019843,-0.270139
SE01-LS-2,fixed,25.000000,persistence_alert,48,1268,1268,1.000000,0.036278,1.252984,-5.854917
SE01-LS-3,fixed,25.000000,base_rate,48,1268,1268,1.000000,0.000000,0.000000,1.000000
SE01-LS-3,fixed,25.000000,filtered_empirical,48,1268,1268,1.000000,0.000252,0.001055,-0.891124
SE01-LS-3,fixed,25.000000,gauss_continuous,48,1268,1268,1.000000,0.000133,0.000650,0.000000
SE01-LS-3,fixed,25.000000,gauss_discrete,48,1268,1268,1.000000,0.000222,0.000991,-0.668464
SE01-LS-3,fixed,25.000000,persistence_alert,48,1268,1268,1.000000,0.003943,0.136194,-28.576635
SE01-LS-4,fixed,25.000000,base_rate,48,1268,1102,0.869085,0.121542,0.416300,-1.747850
SE01-LS-4,fixed,25.000000,filtered_empirical,48,1268,1102,0.869085,0.029528,0.113882,0.332419
SE01-LS-4,fixed,25.000000,gauss_continuous,48,1268,1102,0.869085,0.044232,0.143242,0.000000
SE01-LS-4,fixed,25.000000,gauss_discrete,48,1268,1102,0.869085,0.037336,0.130026,0.155898
SE01-LS-4,fixed,25.000000,persistence_alert,48,1268,1102,0.869085,0.055205,1.906715,-0.248091
SE0X-LS-1,fixed,25.000000,base_rate,48,1268,1268,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,filtered_empirical,48,1268,1268,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_continuous,48,1268,1268,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,gauss_discrete,48,1268,1268,1.000000,0.000000,0.000000,
SE0X-LS-1,fixed,25.000000,persistence_alert,48,1268,1268,1.000000,0.000000,0.000000,
