device,horizon_h,alpha,rule,base_rate,alert_rate,value
SE01-LS-1,6,0.020000,bayes_gauss_continuous,0.030129,0.392396,0.589497
SE01-LS-1,6,0.020000,bayes_gauss_discrete,0.030129,0.370158,0.612426
SE01-LS-1,6,0.020000,bayes_filtered_empirical,0.030129,0.355093,0.627959
SE01-LS-1,6,0.020000,persistence_alert,0.030129,0.030129,-0.442308
SE01-LS-1,6,0.050000,bayes_gauss_continuous,0.030129,0.353659,0.409774
SE01-LS-1,6,0.050000,bayes_gauss_discrete,0.030129,0.335007,0.442356
SE01-LS-1,6,0.050000,bayes_filtered_empirical,0.030129,0.316356,0.474937
SE01-LS-1,6,0.050000,persistence_alert,0.030129,0.030129,0.022556
SE01-LS-1,6,0.100000,bayes_gauss_continuous,0.030129,0.322095,-0.103175
SE01-LS-1,6,0.100000,bayes_gauss_discrete,0.030129,0.299857,-0.021164
SE01-LS-1,6,0.100000,bayes_filtered_empirical,0.030129,0.265423,0.105820
SE01-LS-1,6,0.100000,persistence_alert,0.030129,0.030129,-0.031746
SE01-LS-1,6,0.200000,bayes_gauss_continuous,0.030129,0.269010,-1.011905
SE01-LS-1,6,0.200000,bayes_gauss_discrete,0.030129,0.196557,-0.678571
SE01-LS-1,6,0.200000,bayes_filtered_empirical,0.030129,0.117647,-0.261905
SE01-LS-1,6,0.200000,persistence_alert,0.030129,0.030129,-0.160714
SE01-LS-1,6,0.300000,bayes_gauss_continuous,0.030129,0.178623,-1.588435
SE01-LS-1,6,0.300000,bayes_gauss_discrete,0.030129,0.098996,-0.591837
SE01-LS-1,6,0.300000,bayes_filtered_empirical,0.030129,0.055954,0.020408
SE01-LS-1,6,0.300000,persistence_alert,0.030129,0.030129,-0.326531
SE01-LS-1,6,0.500000,bayes_gauss_continuous,0.030129,0.067432,-1.095238
SE01-LS-1,6,0.500000,bayes_gauss_discrete,0.030129,0.000000,0.000000
SE01-LS-1,6,0.500000,bayes_filtered_empirical,0.030129,0.000000,0.000000
SE01-LS-1,6,0.500000,persistence_alert,0.030129,0.030129,-0.857143
SE01-LS-1,12,0.020000,bayes_gauss_continuous,0.097384,0.472384,0.302738
SE01-LS-1,12,0.020000,bayes_gauss_discrete,0.097384,0.460756,0.315620
SE01-LS-1,12,0.020000,bayes_filtered_empirical,0.097384,0.443314,0.334944
SE01-LS-1,12,0.020000,persistence_alert,0.097384,0.095203,-3.546699
SE01-LS-1,12,0.050000,bayes_gauss_continuous,0.097384,0.440407,0.507246
SE01-LS-1,12,0.050000,bayes_gauss_discrete,0.097384,0.425872,0.523349
SE01-LS-1,12,0.050000,bayes_filtered_empirical,0.097384,0.400436,0.535427
SE01-LS-1,12,0.050000,persistence_alert,0.097384,0.095203,-0.817230
SE01-LS-1,12,0.100000,bayes_gauss_continuous,0.097384,0.404070,0.583748
SE01-LS-1,12,0.100000,bayes_gauss_discrete,0.097384,0.377907,0.613599
SE01-LS-1,12,0.100000,bayes_filtered_empirical,0.097384,0.354651,0.640133
SE01-LS-1,12,0.100000,persistence_alert,0.097384,0.095203,0.065506
SE01-LS-1,12,0.200000,bayes_gauss_continuous,0.097384,0.351017,0.274254
SE01-LS-1,12,0.200000,bayes_gauss_discrete,0.097384,0.325581,0.339552
SE01-LS-1,12,0.200000,bayes_filtered_empirical,0.097384,0.297965,0.410448
SE01-LS-1,12,0.200000,persistence_alert,0.097384,0.095203,-0.048507
SE01-LS-1,12,0.300000,bayes_gauss_continuous,0.097384,0.308866,-0.015991
SE01-LS-1,12,0.300000,bayes_gauss_discrete,0.097384,0.260174,0.198294
SE01-LS-1,12,0.300000,bayes_filtered_empirical,0.097384,0.195494,0.173774
SE01-LS-1,12,0.300000,persistence_alert,0.097384,0.095203,-0.195096
SE01-LS-1,12,0.500000,bayes_gauss_continuous,0.097384,0.143169,-0.485075
SE01-LS-1,12,0.500000,bayes_gauss_discrete,0.097384,0.073401,0.007463
SE01-LS-1,12,0.500000,bayes_filtered_empirical,0.097384,0.025436,0.022388
SE01-LS-1,12,0.500000,persistence_alert,0.097384,0.095203,-0.664179
SE01-LS-1,24,0.020000,bayes_gauss_continuous,0.239552,0.885821,0.002944
SE01-LS-1,24,0.020000,bayes_gauss_discrete,0.239552,0.838060,0.065751
SE01-LS-1,24,0.020000,bayes_filtered_empirical,0.239552,0.776866,-0.197252
SE01-LS-1,24,0.020000,persistence_alert,0.239552,0.201493,-5.279686
SE01-LS-1,24,0.050000,bayes_gauss_continuous,0.239552,0.703731,0.173700
SE01-LS-1,24,0.050000,bayes_gauss_discrete,0.239552,0.632090,0.228656
SE01-LS-1,24,0.050000,bayes_filtered_empirical,0.239552,0.543284,0.345437
SE01-LS-1,24,0.050000,persistence_alert,0.239552,0.201493,-1.481845
SE01-LS-1,24,0.100000,bayes_gauss_continuous,0.239552,0.500000,0.529931
SE01-LS-1,24,0.100000,bayes_gauss_discrete,0.239552,0.482836,0.552502
SE01-LS-1,24,0.100000,bayes_filtered_empirical,0.239552,0.462687,0.578999
SE01-LS-1,24,0.100000,persistence_alert,0.239552,0.201493,-0.215898
