device,horizon_h,alpha,rule,base_rate,alert_rate,value
SE01-LS-1,6,0.020000,bayes_gauss_continuous,0.611191,0.611191,1.000000
SE01-LS-1,6,0.020000,bayes_gauss_discrete,0.611191,0.611191,1.000000
SE01-LS-1,6,0.020000,bayes_filtered_empirical,0.611191,0.611191,1.000000
SE01-LS-1,6,0.020000,persistence_alert,0.611191,0.611191,1.000000
SE01-LS-1,6,0.050000,bayes_gauss_continuous,0.611191,0.611191,1.000000
SE01-LS-1,6,0.050000,bayes_gauss_discrete,0.611191,0.611191,1.000000
SE01-LS-1,6,0.050000,bayes_filtered_empirical,0.611191,0.611191,1.000000
SE01-LS-1,6,0.050000,persistence_alert,0.611191,0.611191,1.000000
SE01-LS-1,6,0.100000,bayes_gauss_continuous,0.611191,0.611191,1.000000
SE01-LS-1,6,0.100000,bayes_gauss_discrete,0.611191,0.611191,1.000000
SE01-LS-1,6,0.100000,bayes_filtered_empirical,0.611191,0.611191,1.000000
SE01-LS-1,6,0.100000,persistence_alert,0.611191,0.611191,1.000000
SE01-LS-1,6,0.200000,bayes_gauss_continuous,0.611191,0.611191,1.000000
SE01-LS-1,6,0.200000,bayes_gauss_discrete,0.611191,0.611191,1.000000
SE01-LS-1,6,0.200000,bayes_filtered_empirical,0.611191,0.611191,1.000000
SE01-LS-1,6,0.200000,persistence_alert,0.611191,0.611191,1.000000
SE01-LS-1,6,0.300000,bayes_gauss_continuous,0.611191,0.611191,1.000000
SE01-LS-1,6,0.300000,bayes_gauss_discrete,0.611191,0.611191,1.000000
SE01-LS-1,6,0.300000,bayes_filtered_empirical,0.611191,0.611191,1.000000
SE01-LS-1,6,0.300000,persistence_alert,0.611191,0.611191,1.000000
SE01-LS-1,6,0.500000,bayes_gauss_continuous,0.611191,0.611191,1.000000
SE01-LS-1,6,0.500000,bayes_gauss_discrete,0.611191,0.611191,1.000000
SE01-LS-1,6,0.500000,bayes_filtered_empirical,0.611191,0.611191,1.000000
SE01-LS-1,6,0.500000,persistence_alert,0.611191,0.611191,1.000000
SE01-LS-1,12,0.020000,bayes_gauss_continuous,0.610465,0.610465,1.000000
SE01-LS-1,12,0.020000,bayes_gauss_discrete,0.610465,0.610465,1.000000
SE01-LS-1,12,0.020000,bayes_filtered_empirical,0.610465,0.610465,1.000000
SE01-LS-1,12,0.020000,persistence_alert,0.610465,0.610465,1.000000
SE01-LS-1,12,0.050000,bayes_gauss_continuous,0.610465,0.610465,1.000000
