device,fold,model,n,n_event,n_censored,ibs,brier_6h,brier_12h,brier_24h,brier_48h,skill_vs_km-train,skill_vs_drydown-clock,skill_vs_gauss-continuous
SE01-LS-1,0,drydown-clock,403,355,0,0.590726,0.101737,0.312655,0.751861,0.880893,-2.084376,0.000000,-2.494666
SE01-LS-1,0,fhs-discrete,403,355,0,0.180988,0.097341,0.209184,0.232170,0.155038,0.055000,0.693617,-0.070706
SE01-LS-1,0,fhs-hazard-blend,403,355,0,0.149023,0.084758,0.174488,0.202760,0.112011,0.221902,0.747729,0.118397
SE01-LS-1,0,gauss-continuous,403,355,0,0.169036,0.165619,0.248768,0.184310,0.115253,0.117405,0.713850,0.000000
SE01-LS-1,0,gauss-discrete,403,355,0,0.174250,0.116695,0.217954,0.212602,0.141548,0.090181,0.705023,-0.030845
SE01-LS-1,0,hazard-glm,403,355,0,0.133470,0.083369,0.159237,0.185797,0.095594,0.303108,0.774058,0.210407
SE01-LS-1,0,km-train,403,355,0,0.191522,0.091629,0.222181,0.262076,0.151984,0.000000,0.675785,-0.133022
SE01-LS-1,1,drydown-clock,144,49,47,0.138813,0.000000,0.000000,0.032789,0.451925,0.343191,0.000000,0.108761
SE01-LS-1,1,fhs-discrete,144,49,47,0.120092,0.001722,0.017901,0.109959,0.247580,0.431774,0.134869,0.228961
SE01-LS-1,1,fhs-hazard-blend,144,49,47,0.165124,0.005067,0.041514,0.201127,0.281028,0.218698,-0.189542,-0.060167
SE01-LS-1,1,gauss-continuous,144,49,47,0.155753,0.008710,0.054790,0.177958,0.261894,0.263039,-0.122033,0.000000
SE01-LS-1,1,gauss-discrete,144,49,47,0.132741,0.003848,0.032831,0.135846,0.250275,0.371926,0.043749,0.147751
SE01-LS-1,1,hazard-glm,144,49,47,0.236247,0.012015,0.084262,0.327429,0.349510,-0.117827,-0.701906,-0.516805
SE01-LS-1,1,km-train,144,49,47,0.211345,0.007745,0.062591,0.285569,0.311897,0.000000,-0.522513,-0.356924
SE01-LS-1,2,drydown-clock,389,98,26,0.077777,0.002591,0.010486,0.010486,0.269512,0.642360,0.000000,0.014210
SE01-LS-1,2,fhs-discrete,389,98,26,0.073438,0.002560,0.010597,0.017620,0.228152,0.662311,0.055785,0.069202
SE01-LS-1,2,fhs-hazard-blend,389,98,26,0.083661,0.002906,0.014761,0.045485,0.230230,0.615302,-0.075655,-0.060369
SE01-LS-1,2,gauss-continuous,389,98,26,0.078898,0.002545,0.011618,0.027208,0.233231,0.637204,-0.014415,0.000000
SE01-LS-1,2,gauss-discrete,389,98,26,0.074997,0.002553,0.010974,0.021908,0.227086,0.655143,0.035745,0.049447
