device,model,n,n_event,ibs,skill_vs_km-train,skill_vs_drydown-clock,skill_vs_gauss-continuous,worst_fold_vs_km-train,worst_fold_vs_drydown-clock,worst_fold_vs_gauss-continuous
SE01-LS-1,drydown-clock,1409.000000,714.000000,0.248310,-0.307197,0.000000,-0.775465,-2.084376,0.000000,-2.494666
SE01-LS-1,fhs-discrete,1409.000000,714.000000,0.116467,0.387801,0.324090,0.024309,0.055000,0.055785,-0.070706
SE01-LS-1,fhs-hazard-blend,1409.000000,714.000000,0.112515,0.414051,0.283436,0.029408,0.218698,-0.189542,-0.060369
SE01-LS-1,gauss-continuous,1409.000000,714.000000,0.117263,0.387066,0.290417,0.000000,0.117405,-0.122033,0.000000
SE01-LS-1,gauss-discrete,1409.000000,714.000000,0.115770,0.392704,0.315852,0.023270,0.090181,0.035745,-0.030845
SE01-LS-1,hazard-glm,1409.000000,714.000000,0.122964,0.369106,0.128435,-0.101467,-0.117827,-0.701906,-0.516805
SE01-LS-1,km-train,1409.000000,714.000000,0.193202,0.000000,-0.405210,-1.111675,0.000000,-1.796104,-7.604807
SE01-LS-2,drydown-clock,1409.000000,629.000000,0.197343,-0.122952,0.000000,-0.298401,-1.578686,0.000000,-1.292748
SE01-LS-2,fhs-discrete,1409.000000,629.000000,0.093111,0.433512,0.283958,0.206726,0.140164,-0.038224,0.053652
SE01-LS-2,fhs-hazard-blend,1409.000000,629.000000,0.091858,0.435242,0.225168,0.163775,0.110214,-0.272623,0.060503
SE01-LS-2,gauss-continuous,1409.000000,629.000000,0.120345,0.275018,0.104703,0.000000,-0.241748,-0.368257,0.000000
SE01-LS-2,gauss-discrete,1409.000000,629.000000,0.104607,0.365795,0.199821,0.114446,-0.040890,-0.206748,0.033359
SE01-LS-2,hazard-glm,1409.000000,629.000000,0.098925,0.387267,0.088854,0.040353,0.049812,-0.679072,-0.402219
SE01-LS-2,km-train,1409.000000,629.000000,0.158365,0.000000,-0.672524,-0.802422,0.000000,-2.493924,-3.869372
SE01-LS-3,drydown-clock,1409.000000,596.000000,0.258803,-0.125246,0.000000,-0.326910,-1.704696,0.000000,-1.824265
SE01-LS-3,fhs-discrete,1409.000000,596.000000,0.109233,0.469966,-0.304089,0.235236,0.101912,-1.544686,0.083132
SE01-LS-3,fhs-hazard-blend,1409.000000,596.000000,0.099819,0.508536,-0.469775,0.211025,0.129283,-2.276150,0.000526
SE01-LS-3,gauss-continuous,1409.000000,596.000000,0.135687,0.344672,-0.759920,0.000000,0.020482,-2.701582,0.000000
SE01-LS-3,gauss-discrete,1409.000000,596.000000,0.116188,0.436078,-0.475476,0.155796,0.075035,-2.031331,0.055694
SE01-LS-3,hazard-glm,1409.000000,596.000000,0.100707,0.501196,-0.771199,0.100632,0.088356,-3.377519,-0.760147
SE01-LS-3,km-train,1409.000000,596.000000,0.192254,0.000000,-5.371197,-2.095285,0.000000,-17.832135,-16.899087
SE01-LS-4,drydown-clock,1409.000000,378.000000,0.115447,-0.142908,0.000000,0.110917,-0.352969,0.000000,-0.321964
SE01-LS-4,fhs-discrete,1409.000000,378.000000,0.107707,-0.090829,0.036369,0.166121,-0.259255,-0.293834,-0.064341
SE01-LS-4,fhs-hazard-blend,1409.000000,378.000000,0.096562,0.021946,0.153029,0.174037,-0.095447,-0.003621,-0.603907
SE01-LS-4,gauss-continuous,1409.000000,378.000000,0.137896,-0.423815,-0.281342,0.000000,-1.150362,-1.186656,0.000000
SE01-LS-4,gauss-discrete,1409.000000,378.000000,0.122311,-0.254374,-0.120847,0.087238,-0.723198,-0.770517,-0.019952
SE01-LS-4,hazard-glm,1409.000000,378.000000,0.094700,0.033113,0.181590,0.093024,-0.106727,0.123558,-2.482341
SE01-LS-4,km-train,1409.000000,378.000000,0.095685,0.000000,0.161293,0.003859,0.000000,-0.027460,-4.427582
SE0X-LS-1,drydown-clock,1409.000000,415.000000,0.086034,0.246408,0.000000,0.042095,-1.186707,0.000000,-0.832365
SE0X-LS-1,fhs-discrete,1409.000000,415.000000,0.055249,0.498972,-0.018211,0.176661,-0.251654,-0.473201,-0.048831
SE0X-LS-1,fhs-hazard-blend,1409.000000,415.000000,0.056412,0.469499,-1.076455,-0.310458,-0.051529,-3.655505,-0.996666
SE0X-LS-1,gauss-continuous,1409.000000,415.000000,0.056678,0.476692,-0.345973,0.000000,-0.193380,-1.331639,0.000000
SE0X-LS-1,gauss-discrete,1409.000000,415.000000,0.055252,0.493877,-0.201378,0.085436,-0.199884,-0.981621,-0.005450
SE0X-LS-1,hazard-glm,1409.000000,415.000000,0.067953,0.336683,-3.288551,-1.352996,0.068631,-10.268615,-3.832916
SE0X-LS-1,km-train,1409.000000,415.000000,0.099376,0.000000,-7.650885,-3.464739,0.000000,-23.555958,-9.531629
