block_id,acquisition,ndvi_count,ndvi_coverage,ndvi_mean,ndvi_std,ndvi_q10,ndvi_q25,ndvi_q50,ndvi_q75,ndvi_iqr,ndvi_fraction_below,ndre_count,ndre_coverage,ndre_mean,ndre_std,ndre_q10,ndre_q25,ndre_q50,ndre_q75,ndre_iqr,ndre_fraction_below,quality_ok,stress_candidate_score,ndvi_rank,ndre_rank,index_disagreement,disagreement_flag,stress_candidate_rank
H6,2026-06-01,4200818,1.0,0.3479832410812378,0.12231920659542084,0.20696298778057098,0.25050216913223267,0.32832789421081543,0.42472851276397705,0.17422634363174438,0.693678945386351,4200818,1.0,0.12110913544893265,0.05588258057832718,0.042032644152641296,0.07255185395479202,0.1270993947982788,0.1664777398109436,0.09392588585615158,0.9385412555364218,True,0.9358974358974359,2.0,4.0,2.0,False,1.0
L,2026-06-01,15090465,1.0,0.41804131865501404,0.16099610924720764,0.25481361150741577,0.28974419832229614,0.3626921474933624,0.5186671614646912,0.22892296314239502,0.5762283667203099,15090465,1.0,0.11301437765359879,0.045130182057619095,0.06162586808204651,0.07847832888364792,0.10611362755298615,0.14262568950653076,0.06414736062288284,0.9617043609988162,True,0.9358974358974359,5.0,1.0,4.0,False,1.0
J1,2026-06-01,3870395,1.0,0.436711847782135,0.17171399295330048,0.2686334550380707,0.3072352111339569,0.3651886582374573,0.5543603897094727,0.24712517857551575,0.5722800902750236,3870395,1.0,0.11395330727100372,0.03786775469779968,0.06807804107666016,0.086977019906044,0.11111366748809814,0.13667866587638855,0.04970164597034454,0.9754355821563432,True,0.9166666666666667,6.0,1.0,5.0,False,3.0
J2,2026-06-01,3560098,1.0,0.4455949068069458,0.18921034038066864,0.260385125875473,0.2869095802307129,0.36504125595092773,0.6059989333152771,0.3190893530845642,0.5530496632396075,3560098,1.0,0.11017045378684998,0.04507243633270264,0.06644218415021896,0.07978452742099762,0.0999220609664917,0.12737712264060974,0.04759259521961212,0.9476056557993628,True,0.9166666666666667,6.0,1.0,5.0,False,3.0
P,2026-06-01,9703390,1.0,0.3937937617301941,0.1450902819633484,0.23615525662899017,0.2875688970088959,0.361320823431015,0.4665954113006592,0.1790265142917633,0.6121768783899235,9703390,1.0,0.13251683115959167,0.04836319759488106,0.07510583847761154,0.09956798702478409,0.12901358306407928,0.16083894670009613,0.06127095967531204,0.9196675594817894,True,0.9038461538461539,3.0,6.0,3.0,False,5.0
Q,2026-06-01,5002864,1.0,0.3615187704563141,0.14353123307228088,0.21956908702850342,0.2682604193687439,0.32653099298477173,0.4085484743118286,0.14028805494308472,0.7331846318428804,5002864,1.0,0.14729170501232147,0.04288141801953316,0.09400524199008942,0.12175464630126953,0.1480512022972107,0.1710653305053711,0.04931068420410156,0.9152789282299099,True,0.9038461538461539,1.0,8.0,7.0,False,5.0
M,2026-06-01,7178982,1.0,0.4008945822715759,0.15374964475631714,0.24294045567512512,0.2846575081348419,0.3552062511444092,0.4936251640319824,0.2089676558971405,0.5933402535345541,7178982,1.0,0.15046702325344086,0.04818923771381378,0.09221361577510834,0.11846985667943954,0.14660069346427917,0.17772097885608673,0.059251122176647186,0.8551425536378278,True,0.8525641025641026,3.0,10.0,7.0,False,7.0
E,2026-06-01,9918902,1.0,0.48777586221694946,0.24178792536258698,0.2176830917596817,0.26488783955574036,0.4153555631637573,0.7453653812408447,0.48047754168510437,0.4841447168245034,9918902,1.0,0.13098320364952087,0.054491788148880005,0.06480949372053146,0.08741879463195801,0.1241370141506195,0.1705913096666336,0.0831725150346756,0.8762491049916614,True,0.8397435897435898,8.0,7.0,1.0,False,8.0
G,2026-06-01,24922042,1.0,0.49302753806114197,0.22922155261039734,0.218492791056633,0.27821317315101624,0.4523780345916748,0.7284684777259827,0.45025530457496643,0.44349600245437354,24922042,1.0,0.12066064029932022,0.05777695029973984,0.0464240238070488,0.07632357627153397,0.11767081916332245,0.16127018630504608,0.08494661003351212,0.9025966652331298,True,0.8269230769230769,10.0,5.0,5.0,False,9.0
B South,2026-06-01,11007016,1.0,0.4576791822910309,0.16118626296520233,0.2702924609184265,0.3234746754169464,0.4256938397884369,0.5816171169281006,0.2581424415111542,0.4470624917779714,11007016,1.0,0.14778973162174225,0.051170527935028076,0.09186804294586182,0.1134796217083931,0.1395542174577713,0.17200157046318054,0.058521948754787445,0.8592981967138051,True,0.8012820512820513,9.0,8.0,1.0,False,10.0
O,2026-06-01,10865332,1.0,0.4964427351951599,0.16186173260211945,0.2969183921813965,0.3702984154224396,0.4734923243522644,0.6166781187057495,0.24637970328330994,0.3238001379065085,10865332,1.0,0.1565512716770172,0.05313266068696976,0.09253087639808655,0.12040602415800095,0.1538107842206955,0.18852227926254272,0.06811625510454178,0.8148010571605175,True,0.7243589743589743,11.0,12.0,1.0,False,11.0
P2,2026-06-01,13841060,1.0,0.5482244491577148,0.19053924083709717,0.3090061843395233,0.39252111315727234,0.5268653035163879,0.7287042737007141,0.3361831605434418,0.26566512969382405,13841060,1.0,0.17513467371463776,0.05180846154689789,0.11442463099956512,0.14502128958702087,0.1726771891117096,0.20404702425003052,0.059025734663009644,0.7244556414031873,True,0.5833333333333334,16.0,19.0,3.0,False,12.0
N,2026-06-01,10845517,1.0,0.5546649098396301,0.15799447894096375,0.3465102016925812,0.4275469481945038,0.5473348498344421,0.6839522123336792,0.2564052641391754,0.194614235540823,10845517,1.0,0.16560997068881989,0.04545903578400612,0.11326021701097488,0.13761606812477112,0.16227097809314728,0.1882857084274292,0.05066964030265808,0.8219627519831466,True,0.5448717948717949,22.0,13.0,9.0,False,13.0
I,2026-06-01,15195869,1.0,0.5706984400749207,0.19599930942058563,0.2978311777114868,0.403370201587677,0.5782973766326904,0.7501568794250488,0.3467866778373718,0.24481581145507375,15195869,1.0,0.16030609607696533,0.054910652339458466,0.09104019403457642,0.12185950577259064,0.15801465511322021,0.1954413503408432,0.07358184456825256,0.7744111244970591,True,0.532051282051282,25.0,14.0,11.0,True,14.0
Triangle A,2026-06-01,4243110,1.0,0.5324988961219788,0.1613137125968933,0.34036070108413696,0.39691221714019775,0.5113846659660339,0.6653715372085571,0.2684593200683594,0.2579372205764168,4243110,1.0,0.190280020236969,0.05471561849117279,0.13778522610664368,0.1554994434118271,0.17759597301483154,0.21309399604797363,0.057594552636146545,0.6801838745637044,True,0.532051282051282,16.0,22.0,6.0,False,14.0
C8,2026-06-01,9655858,1.0,0.5416609048843384,0.19079157710075378,0.3166333734989166,0.3865493834018707,0.49334561824798584,0.7293816804885864,0.3428322970867157,0.28386467572327595,9655858,1.0,0.18205979466438293,0.05741598829627037,0.11283674836158752,0.14409568905830383,0.17910334467887878,0.21607832610607147,0.07198263704776764,0.6502688834073574,True,0.5192307692307692,12.0,27.0,15.0,True,16.0
P6,2026-06-01,10693335,1.0,0.5776109099388123,0.21466082334518433,0.29434964060783386,0.3958851993083954,0.5631009936332703,0.8027553558349609,0.40687015652656555,0.25735507210799996,10693335,1.0,0.17115797102451324,0.059550415724515915,0.09754717350006104,0.1347656548023224,0.17118170857429504,0.20696857571601868,0.07220292091369629,0.7075558747575008,True,0.5064102564102564,19.0,20.0,1.0,False,17.0
B North,2026-06-01,14679383,1.0,0.5163307189941406,0.1694660186767578,0.3058692216873169,0.37220826745033264,0.4989481568336487,0.6599407196044922,0.28773245215415955,0.3114863206444031,14679383,1.0,0.18422426283359528,0.04378972202539444,0.13185252249240875,0.1564767062664032,0.18279395997524261,0.21069779992103577,0.05422109365463257,0.6625309796740094,True,0.5,12.0,28.0,16.0,True,18.0
Cb,2026-06-01,8681699,1.0,0.5740572214126587,0.19327020645141602,0.3121929168701172,0.39979690313339233,0.5779434442520142,0.7634183168411255,0.36362141370773315,0.2503422429181201,8681699,1.0,0.1709892898797989,0.055937089025974274,0.10194993764162064,0.13142655789852142,0.16787974536418915,0.20467692613601685,0.07325036823749542,0.7233396366310327,True,0.49358974358974356,21.0,16.0,5.0,False,19.0
1,2026-06-01,6186017,1.0,0.5590748190879822,0.1578480452299118,0.3614427447319031,0.4291677176952362,0.5451502203941345,0.6951211094856262,0.26595339179039,0.1799118883766404,6186017,1.0,0.1828402727842331,0.053278848528862,0.12872196733951569,0.1497172862291336,0.17296630144119263,0.20369590818881989,0.05397862195968628,0.7293554156091068,True,0.47435897435897434,25.0,17.0,8.0,False,20.0
Ca,2026-06-01,12573890,1.0,0.5488861203193665,0.15200744569301605,0.3482320010662079,0.4277263581752777,0.5441126823425293,0.6721137166023254,0.24438735842704773,0.1929053777311556,12573890,1.0,0.18383994698524475,0.04717111960053444,0.1328589916229248,0.1552155315876007,0.17786452174186707,0.20336610078811646,0.04815056920051575,0.725072590900668,True,0.46794871794871795,20.0,21.0,1.0,False,21.0
F,2026-06-01,9684661,1.0,0.5685561299324036,0.2224048674106598,0.2857304513454437,0.3594169318675995,0.5448322296142578,0.8026303648948669,0.44321343302726746,0.32312148045243916,9684661,1.0,0.18353520333766937,0.05114055052399635,0.12044166773557663,0.14426955580711365,0.17946486175060272,0.21941570937633514,0.0751461535692215,0.6335810824973637,True,0.46794871794871795,15.0,28.0,13.0,True,21.0
H4,2026-06-01,3497423,1.0,0.6327248215675354,0.16786159574985504,0.3901282250881195,0.5042095184326172,0.6531646847724915,0.7855527400970459,0.2813432216644287,0.11083989554594911,3497423,1.0,0.14705544710159302,0.04817201942205429,0.08972874283790588,0.11156274378299713,0.1415461152791977,0.1786956489086151,0.06713290512561798,0.8526723819223468,True,0.423076923076923,36.0,11.0,25.0,True,23.0
Train Barn,2026-06-01,6247847,1.0,0.5179532170295715,0.1527298241853714,0.31972384452819824,0.39859405159950256,0.5121546387672424,0.6421999931335449,0.24360594153404236,0.2532381154660157,6247847,1.0,0.1864369809627533,0.05687054991722107,0.115569107234478,0.15382689237594604,0.1870306134223938,0.21678057312965393,0.06295368075370789,0.615916971078197,True,0.39102564102564097,18.0,32.0,14.0,True,24.0
H2,2026-06-01,5975067,1.0,0.6157562136650085,0.17449401319026947,0.360896497964859,0.4790237545967102,0.6419817209243774,0.7723020911216736,0.2932783365249634,0.14558230058340768,5975067,1.0,0.16653074324131012,0.048231519758701324,0.10325505584478378,0.13717250525951385,0.16969525814056396,0.19793453812599182,0.060762032866477966,0.7653460622282562,True,0.3782051282051282,35.0,15.0,20.0,True,25.0
C3,2026-06-01,10296352,1.0,0.5562310814857483,0.18691407144069672,0.33783552050590515,0.3953121602535248,0.5086043477058411,0.7488508820533752,0.35353872179985046,0.26283163201879656,10296352,1.0,0.19998109340667725,0.048155177384614944,0.14602015912532806,0.16918185353279114,0.1930152177810669,0.22468003630638123,0.05549818277359009,0.5705484816369915,True,0.37179487179487175,14.0,36.0,22.0,True,26.0
