device,model,horizon_h,n,mae,rmse,precision,recall,skill_fold_median,skill_fold_min,skill_vs_persistence
SE01-LS-1,diurnal_drift_temp,6,1367,0.09,0.293,1.0,1.0,0.235,-0.099,0.142
SE01-LS-1,diurnal_drift,6,1367,0.099,0.283,1.0,1.0,0.055,-0.035,0.055
SE01-LS-1,persistence,6,1367,0.105,0.287,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,drydown,6,1367,0.117,0.326,1.0,1.0,-0.097,-0.166,-0.12
SE01-LS-1,seasonal_naive,6,1367,0.283,0.588,1.0,1.0,-1.045,-2.034,-1.701
SE01-LS-1,climatology,6,1367,5.424,6.35,0.0,0.0,-129.531,-159.558,-50.813
SE01-LS-1,diurnal_drift_temp,12,1361,0.127,0.427,1.0,1.0,0.383,-0.047,0.282
SE01-LS-1,diurnal_drift,12,1361,0.162,0.423,1.0,1.0,0.2,-0.001,0.084
SE01-LS-1,persistence,12,1361,0.177,0.428,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,drydown,12,1361,0.196,0.539,1.0,1.0,-0.041,-0.306,-0.108
SE01-LS-1,seasonal_naive,12,1361,0.283,0.589,1.0,1.0,-0.334,-0.699,-0.599
SE01-LS-1,climatology,12,1361,5.424,6.356,0.0,0.0,-83.172,-115.508,-29.677
SE01-LS-1,diurnal_drift_temp,24,1354,0.204,0.579,1.0,1.0,0.17,-0.001,0.281
SE01-LS-1,drydown,24,1354,0.275,0.836,1.0,1.0,0.034,-0.53,0.029
SE01-LS-1,diurnal_drift,24,1354,0.277,0.589,1.0,1.0,0.06,-0.025,0.023
SE01-LS-1,persistence,24,1354,0.283,0.59,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,seasonal_naive,24,1354,0.283,0.59,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,climatology,24,1354,5.43,6.369,0.0,0.0,-51.142,-105.884,-18.164
SE01-LS-1,diurnal_drift_temp,48,1335,0.353,0.806,1.0,1.0,0.387,0.017,0.325
SE01-LS-1,diurnal_drift,48,1335,0.515,0.845,1.0,1.0,0.073,-0.041,0.016
SE01-LS-1,persistence,48,1335,0.523,0.845,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,seasonal_naive,48,1335,0.523,0.845,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,drydown,48,1335,0.538,1.445,1.0,1.0,0.339,-0.712,-0.029
SE01-LS-1,climatology,48,1335,5.432,6.391,0.0,0.0,-24.769,-52.811,-9.387
SE01-LS-2,persistence,6,1367,0.113,0.372,0.991,0.991,0.0,0.0,0.0
SE01-LS-2,drydown,6,1367,0.126,0.424,0.991,0.995,-0.034,-0.163,-0.108
SE01-LS-2,diurnal_drift_temp,6,1367,0.135,0.376,0.991,0.992,-0.159,-1.03,-0.194
SE01-LS-2,diurnal_drift,6,1367,0.173,0.386,0.991,0.995,-0.826,-1.509,-0.524
SE01-LS-2,seasonal_naive,6,1367,0.263,0.664,0.982,0.982,-0.57,-1.746,-1.321
SE01-LS-2,climatology,6,1367,3.125,3.608,0.966,1.0,-64.534,-76.946,-26.549
SE01-LS-2,persistence,12,1361,0.178,0.525,0.985,0.985,0.0,0.0,0.0
SE01-LS-2,drydown,12,1361,0.208,0.675,0.982,0.987,-0.083,-0.248,-0.168
SE01-LS-2,diurnal_drift_temp,12,1361,0.229,0.535,0.984,0.985,-0.218,-1.476,-0.283
SE01-LS-2,diurnal_drift,12,1361,0.248,0.538,0.983,0.988,-1.085,-1.485,-0.392
SE01-LS-2,seasonal_naive,12,1361,0.264,0.665,0.982,0.982,-0.248,-0.694,-0.481
SE01-LS-2,climatology,12,1361,3.126,3.613,0.966,1.0,-48.494,-74.962,-16.522
SE01-LS-2,diurnal_drift,24,1354,0.22,0.661,0.981,0.983,0.176,0.08,0.17
SE01-LS-2,persistence,24,1354,0.265,0.667,0.982,0.982,0.0,0.0,0.0
SE01-LS-2,seasonal_naive,24,1354,0.265,0.667,0.982,0.982,0.0,0.0,0.0
SE01-LS-2,diurnal_drift_temp,24,1354,0.297,0.671,0.982,0.982,0.025,-1.453,-0.121
SE01-LS-2,drydown,24,1354,0.311,1.025,0.978,0.984,0.045,-0.459,-0.173
SE01-LS-2,climatology,24,1354,3.13,3.62,0.966,1.0,-41.319,-77.23,-10.803
SE01-LS-2,diurnal_drift,48,1335,0.377,0.847,0.969,0.974,0.297,0.121,0.205
