device,model,horizon_h,n,mae,rmse,precision,recall,skill_fold_median,skill_fold_min,skill_vs_persistence
SE01-LS-1,persistence,6,1401,0.104,0.284,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,ecm,6,1401,0.137,0.287,1.0,1.0,-0.186,-0.442,-0.319
SE01-LS-1,persistence,12,1395,0.175,0.424,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,ecm,12,1395,0.237,0.441,1.0,1.0,-0.271,-0.482,-0.352
SE01-LS-1,persistence,24,1383,0.282,0.585,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,ecm,24,1383,0.388,0.641,1.0,1.0,-0.379,-1.304,-0.377
SE01-LS-1,persistence,48,1359,0.521,0.839,1.0,1.0,0.0,0.0,0.0
SE01-LS-1,ecm,48,1359,0.589,0.89,1.0,1.0,0.012,-0.286,-0.13
SE01-LS-2,persistence,6,1401,0.112,0.367,0.991,0.991,0.0,0.0,0.0
SE01-LS-2,ecm,6,1401,0.135,0.37,0.99,0.993,0.004,-1.364,-0.203
SE01-LS-2,persistence,12,1395,0.176,0.519,0.985,0.985,0.0,0.0,0.0
SE01-LS-2,ecm,12,1395,0.21,0.52,0.983,0.988,-0.057,-1.612,-0.195
SE01-LS-2,ecm,24,1383,0.259,0.653,0.982,0.983,0.048,-0.061,0.012
SE01-LS-2,persistence,24,1383,0.262,0.66,0.982,0.982,0.0,0.0,0.0
SE01-LS-2,persistence,48,1359,0.471,0.859,0.97,0.97,0.0,0.0,0.0
SE01-LS-2,ecm,48,1359,0.503,0.848,0.97,0.975,0.056,-0.906,-0.069
SE01-LS-3,persistence,6,1401,0.132,0.427,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,ecm,6,1401,0.203,0.461,0.997,0.996,-0.191,-2.177,-0.538
SE01-LS-3,persistence,12,1395,0.209,0.564,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,ecm,12,1395,0.311,0.619,0.996,0.996,-0.107,-2.469,-0.488
SE01-LS-3,persistence,24,1383,0.282,0.688,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,ecm,24,1383,0.405,0.742,0.996,0.996,-0.503,-2.947,-0.437
SE01-LS-3,persistence,48,1359,0.502,0.886,0.996,0.996,0.0,0.0,0.0
SE01-LS-3,ecm,48,1359,0.603,0.941,0.996,0.996,-0.525,-1.418,-0.201
SE01-LS-4,persistence,6,1401,0.08,0.301,0.99,0.984,0.0,0.0,0.0
SE01-LS-4,ecm,6,1401,0.496,0.593,0.888,1.0,-8.917,-15.961,-5.197
SE01-LS-4,persistence,12,1395,0.13,0.423,0.982,0.971,0.0,0.0,0.0
SE01-LS-4,ecm,12,1395,0.839,0.978,0.87,1.0,-10.445,-14.596,-5.459
SE01-LS-4,persistence,24,1383,0.203,0.512,0.979,0.958,0.0,0.0,0.0
SE01-LS-4,ecm,24,1383,0.791,0.972,0.87,1.0,-6.569,-8.175,-2.894
SE01-LS-4,persistence,48,1359,0.343,0.603,0.955,0.914,0.0,0.0,0.0
SE01-LS-4,ecm,48,1359,0.906,1.118,0.862,1.0,-4.01,-4.838,-1.645
SE0X-LS-1,persistence,6,1401,0.064,0.135,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,ecm,6,1401,2.388,2.626,1.0,0.99,-26.767,-73.249,-36.054
SE0X-LS-1,persistence,12,1395,0.1,0.211,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,ecm,12,1395,3.6,3.953,1.0,0.951,-34.754,-83.676,-35.096
SE0X-LS-1,persistence,24,1383,0.154,0.3,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,ecm,24,1383,3.266,3.586,1.0,0.954,-35.055,-50.294,-20.213
SE0X-LS-1,persistence,48,1359,0.293,0.436,1.0,1.0,0.0,0.0,0.0
SE0X-LS-1,ecm,48,1359,4.155,4.56,1.0,0.927,-21.731,-33.248,-13.189
