model,horizon_h,n,mae,rmse,precision,recall,skill_fold_median,skill_fold_min,skill_vs_persistence
persistence,6,998,0.116,0.33,1.0,1.0,0.0,0.0,0.0
drydown,6,998,0.132,0.377,1.0,1.0,-0.052,-0.211,-0.145
seasonal_naive,6,998,0.311,0.672,1.0,1.0,-0.728,-2.026,-1.685
lstm,6,998,0.606,0.781,1.0,1.0,-2.189,-19.757,-4.24
climatology,6,998,5.484,6.446,0.0,0.0,-115.303,-141.669,-46.411
persistence,12,992,0.197,0.492,1.0,1.0,0.0,0.0,0.0
drydown,12,992,0.227,0.625,1.0,1.0,-0.029,-0.251,-0.15
seasonal_naive,12,992,0.312,0.674,1.0,1.0,-0.143,-0.689,-0.579
lstm,12,992,1.389,1.669,1.0,1.0,-10.124,-15.779,-6.034
climatology,12,992,5.479,6.448,0.0,0.0,-85.238,-228.661,-26.75
persistence,24,980,0.314,0.678,1.0,1.0,0.0,0.0,0.0
seasonal_naive,24,980,0.314,0.678,1.0,1.0,0.0,0.0,0.0
drydown,24,980,0.332,0.976,1.0,1.0,0.116,-20.498,-0.057
lstm,24,980,2.25,2.517,1.0,1.0,-22.729,-131.31,-6.16
climatology,24,980,5.469,6.452,0.0,0.0,-58.192,-1410.924,-16.407
persistence,48,956,0.574,0.952,1.0,1.0,0.0,0.0,0.0
seasonal_naive,48,956,0.574,0.952,1.0,1.0,0.0,0.0,0.0
drydown,48,956,0.655,1.694,1.0,1.0,0.052,-0.389,-0.141
lstm,48,956,5.316,6.347,0.0,0.0,-27.851,-60.295,-8.255
climatology,48,956,5.444,6.457,0.0,0.0,-27.883,-59.515,-8.478
