device,model,horizon_h,n,mae,rmse,skill_vs_persistence,skill_fold_median,skill_fold_min,precision,recall
ALL,persistence,6,7005,0.0984256550779619,0.31805633801696,0.0,0.0,0.0,0.9952906787918155,0.9943218689162882
ALL,pooled_gbt,6,7005,0.14282484311669433,0.46640670792414257,-0.45109365036548965,-0.023701975946917253,-0.7656482421120718,0.9922242021707436,0.9936729396495781
SE01-LS-1,persistence,6,1401,0.10358049502091751,0.2836288597667399,0.0,0.0,0.0,1.0,1.0
SE01-LS-1,pooled_gbt,6,1401,0.11424426912007904,0.2937153034602634,-0.10295156532132843,-0.050404010085129514,-0.20675567570226794,1.0,1.0
SE01-LS-2,persistence,6,1401,0.11214504556970152,0.3671890113683337,0.0,0.0,0.0,0.9911439114391144,0.9911439114391144
SE01-LS-2,pooled_gbt,6,1401,0.13652293042699348,0.45531336726805943,-0.21737817068468157,-0.018866424149875494,-0.4097572291615341,0.9926253687315634,0.9933579335793358
SE01-LS-3,persistence,6,1401,0.13194619565681964,0.4267294837741249,0.0,0.0,0.0,0.9964183381088825,0.9964183381088825
SE01-LS-3,pooled_gbt,6,1401,0.1583886105819916,0.49254556518846154,-0.200403011193641,0.03200041602476422,-0.32656044061428635,0.9964080459770115,0.9935530085959885
SE01-LS-4,persistence,6,1401,0.08002257289338185,0.3005106431661618,0.0,0.0,0.0,0.98959236773634,0.9844693701466781
SE01-LS-4,pooled_gbt,6,1401,0.17221026622100388,0.5643536021237701,-1.1520211109738798,-0.2349333847062789,-1.9533562242678673,0.9718189581554227,0.9818809318377912
SE0X-LS-1,persistence,6,1401,0.06443396624898892,0.1346156440510791,0.0,0.0,0.0,1.0,1.0
SE0X-LS-1,pooled_gbt,6,1401,0.1327581392334036,0.48270179414059905,-1.0603750934777634,-0.10147137013987972,-2.2367297933496744,1.0,1.0
ALL,persistence,12,6975,0.1579649310346617,0.4449991960563963,0.0,0.0,0.0,0.9924861156484809,0.9905445060319531
