model,horizon_h,n,mae,rmse,precision,recall,skill_fold_median,skill_fold_min,skill_vs_persistence
persistence,6,1367,0.105,0.287,1.0,1.0,0.0,0.0,0.0
drydown,6,1367,0.117,0.326,1.0,1.0,-0.097,-0.166,-0.12
seasonal_naive,6,1367,0.283,0.588,1.0,1.0,-1.045,-2.034,-1.701
prophet,6,1367,1.644,1.877,1.0,0.957,-24.429,-28.796,-14.705
climatology,6,1367,5.424,6.35,0.0,0.0,-129.531,-159.558,-50.813
persistence,12,1361,0.177,0.428,1.0,1.0,0.0,0.0,0.0
drydown,12,1361,0.196,0.539,1.0,1.0,-0.041,-0.306,-0.108
seasonal_naive,12,1361,0.283,0.589,1.0,1.0,-0.334,-0.699,-0.599
prophet,12,1361,1.658,1.865,1.0,0.968,-15.298,-19.008,-8.38
climatology,12,1361,5.424,6.356,0.0,0.0,-83.172,-115.508,-29.677
drydown,24,1354,0.275,0.836,1.0,1.0,0.034,-0.53,0.029
persistence,24,1354,0.283,0.59,1.0,1.0,0.0,0.0,0.0
seasonal_naive,24,1354,0.283,0.59,1.0,1.0,0.0,0.0,0.0
prophet,24,1354,1.667,1.83,1.0,0.979,-9.312,-14.9,-4.882
climatology,24,1354,5.43,6.369,0.0,0.0,-51.142,-105.884,-18.164
persistence,48,1335,0.523,0.845,1.0,1.0,0.0,0.0,0.0
seasonal_naive,48,1335,0.523,0.845,1.0,1.0,0.0,0.0,0.0
drydown,48,1335,0.538,1.445,1.0,1.0,0.339,-0.712,-0.029
prophet,48,1335,1.817,2.116,1.0,0.996,-3.505,-14.471,-2.474
climatology,48,1335,5.432,6.391,0.0,0.0,-24.769,-52.811,-9.387
